ECRY2_DN0_c0_g12446_i1.p1	GO:0017018, GO:0006470, GO:0005634
ECRY2_DN0_c0_g14278_i1.p1	GO:0005576, GO:0005509, GO:0007160
ECRY2_DN0_c0_g7869_i1.p1	GO:0046627, GO:0019955, GO:0040015, GO:0061809, GO:0008063, GO:0002224, GO:1902875, GO:0009897, GO:0009986, GO:0004896, GO:0070976, GO:0061760, GO:0002347, GO:0019221, GO:0005769, GO:0032154, GO:0042802, GO:0005737, GO:0030308, GO:0046790, GO:0016201, GO:0009950, GO:0005887, GO:0007507, GO:0005886, GO:0007526, GO:0009611, GO:0035208, GO:0050135, GO:0050830, GO:0007416, GO:0002804, GO:0045944, GO:0002229, GO:0035212, GO:0007155, GO:0009597, GO:0071944
ECRY2_DN0_c0_g4592_i1.p1	GO:0006897, GO:0005576, GO:0016020, GO:0031103, GO:0031648, GO:0043410, GO:0002164, GO:0005615, GO:0004252, GO:0005044, GO:1903746, GO:0006508, GO:1905941
ECRY2_DN0_c0_g15287_i1.p1	GO:0006355, GO:0042054, GO:0019919, GO:0035242, GO:0005737, GO:0035241, GO:0005634, GO:0006338, GO:0034969
ECRY2_DN0_c0_g8322_i1.p1	GO:0006891, GO:0005794, GO:0000139, GO:0005515, GO:0017119, GO:0006886
ECRY2_DN0_c0_g2857_i1.p1	GO:0030177, GO:0042802, GO:1902600, GO:0046961, GO:0000221
ECRY2_DN0_c0_g4594_i1.p1	GO:0044219, GO:0005198, GO:0009399
ECRY2_DN0_c0_g4437_i1.p1	GO:0005576, GO:0016042, GO:0050790, GO:0032094, GO:0008047, GO:0007586
ECRY2_DN0_c0_g11817_i1.p1	GO:0019870, GO:0005576, GO:0051412, GO:0045071, GO:0032991, GO:0030154, GO:0010951, GO:0004867, GO:0002020, GO:0005615
ECRY2_DN0_c0_g11923_i1.p1	GO:0009117, GO:0005737, GO:0008253, GO:0000287, GO:0000166
ECRY2_DN0_c0_g15369_i1.p1	GO:0051898, GO:0046627, GO:0045793, GO:0005829, GO:0043405, GO:0005634, GO:0046982, GO:0004860, GO:0005524, GO:0048640, GO:0004672, GO:0045839, GO:0031434, GO:0007049, GO:0010888, GO:0007370, GO:0042803, GO:0043086, GO:0006468, GO:0032436, GO:0005938, GO:0042593
ECRY2_DN0_c0_g5473_i1.p1	GO:0000701, GO:0035485, GO:0005515, GO:0006284, GO:0046872, GO:0051539, GO:0005634, GO:0045007, GO:0032357, GO:0006298, GO:0034039
ECRY2_DN0_c0_g10577_i1.p1	GO:0016605, GO:0000978, GO:0005829, GO:0005737, GO:0046872, GO:0000981, GO:0005634, GO:0006357, GO:0005694
ECRY2_DN0_c0_g6554_i1.p1	GO:0005789, GO:0001561, GO:0009097, GO:0016021, GO:0005783, GO:0005948, GO:0003984, GO:0016829, GO:0030976, GO:0050660, GO:0000287, GO:0009099
ECRY2_DN0_c0_g16046_i1.p1	GO:0004864, GO:0030426, GO:0043086, GO:0005737, GO:0043666, GO:0043197, GO:0009966, GO:0005977
ECRY2_DN0_c0_g11376_i1.p1	GO:0005576, GO:0032027, GO:0030154, GO:0097224, GO:0044458, GO:0031514, GO:0007283
ECRY2_DN0_c0_g1601_i1.p1	GO:0042803, GO:0046168, GO:0051287, GO:0005737, GO:0005829, GO:0006114, GO:0006116, GO:0009331, GO:0004367, GO:0005634
ECRY2_DN0_c0_g5827_i1.p1	GO:0009507, GO:0005515, GO:0051321
ECRY2_DN0_c0_g14608_i1.p1	GO:0051321, GO:0030154, GO:0000785, GO:0051039, GO:0005515, GO:0000978, GO:0046872, GO:0005634, GO:0003700, GO:0006357, GO:0007140, GO:0007283
ECRY2_DN0_c0_g8178_i1.p1	GO:0009838, GO:0032266, GO:0051301, GO:0032154, GO:0044878, GO:0005737, GO:0005856, GO:0046872, GO:0005813, GO:0030496, GO:0032466, GO:0090543, GO:0007049
ECRY2_DN0_c0_g13759_i1.p1	GO:0000254, GO:0005506, GO:0005789, GO:0016126, GO:0016021, GO:0005783
ECRY2_DN0_c0_g3195_i1.p1	GO:0048015, GO:0005886, GO:0046854, GO:0005737, GO:0004430
ECRY2_DN0_c0_g4478_i1.p1	GO:0005886, GO:0000045, GO:0005525, GO:0003924, GO:0006886, GO:0012505
ECRY2_DN0_c0_g4567_i1.p1	GO:0005739, GO:0070469, GO:0006979, GO:0005747, GO:0050897, GO:0032981, GO:0005743
ECRY2_DN0_c0_g8659_i1.p1	GO:0032528, GO:0006935, GO:0007602, GO:0007635, GO:0010628, GO:0010446, GO:0005886, GO:0008340, GO:0004118, GO:0047555, GO:0010754, GO:0046872, GO:0042542
ECRY2_DN0_c0_g16202_i1.p1	GO:0051301, GO:0032880, GO:0019901, GO:0005737, GO:0032147, GO:0007088, GO:0005634, GO:0060236, GO:0007049
ECRY2_DN0_c0_g4307_i1.p1	GO:0042803, GO:0006914, GO:0030017, GO:0000045, GO:0005783, GO:0005737, GO:0055120, GO:0010506
ECRY2_DN0_c0_g4572_i1.p1	GO:0070492, GO:0045617, GO:0005576, GO:0038023, GO:0042834, GO:0043434, GO:0010838, GO:0042802, GO:0006953, GO:0051838, GO:0044278, GO:0061844, GO:0090303, GO:0005615
ECRY2_DN0_c0_g8054_i1.p1	GO:0005524, GO:0008340, GO:0004711, GO:0018105, GO:0005737, GO:0106310, GO:0000287, GO:0035556, GO:0004712, GO:0005654
ECRY2_DN0_c0_g10606_i1.p1	GO:0006955, GO:0042119, GO:0048856, GO:0005515, GO:0050731, GO:0000775, GO:0050766, GO:0005634, GO:0035723, GO:0005694
ECRY2_DN0_c0_g16071_i1.p1	GO:0070525, GO:0004674, GO:0005524, GO:0045944, GO:0000781, GO:0000722, GO:0005737, GO:0004712, GO:0106310, GO:0006468, GO:0016787, GO:0005634, GO:0000408, GO:0008033, GO:0005694
ECRY2_DN0_c0_g1116_i1.p1	GO:0048263, GO:0048477, GO:0008070, GO:0007474, GO:0005886, GO:0030154, GO:1903688, GO:0007310, GO:0016325, GO:0007314, GO:0031225, GO:0030381, GO:0009952, GO:0007173, GO:0031514, GO:0005509, GO:0030714, GO:0046843
ECRY2_DN0_c0_g10781_i1.p1	GO:0046982, GO:0042803, GO:0000165, GO:0005524, GO:0004707, GO:0019901, GO:0005737, GO:0106310, GO:0006468, GO:0005634, GO:0004712, GO:0007049
ECRY2_DN0_c0_g2961_i1.p1	GO:0033683, GO:0000715, GO:0006284, GO:0003684, GO:0005634, GO:0046872, GO:0000110, GO:1901255, GO:0070914
ECRY2_DN0_c0_g15684_i1.p1	GO:0035042, GO:0006336, GO:0007143, GO:0001940, GO:0000776, GO:0000775, GO:0042585, GO:0003677, GO:0005694, GO:0005654
ECRY2_DN0_c0_g6679_i1.p1	GO:0034551, GO:0005739, GO:0005759, GO:0050833
ECRY2_DN0_c0_g12137_i1.p1	GO:0006006, GO:0004345, GO:0009051, GO:0005737, GO:0009052, GO:0005829, GO:0050661, GO:0006098
ECRY2_DN0_c0_g14162_i1.p1	GO:0005739, GO:0030170, GO:1901566, GO:0016594, GO:0019464, GO:0005960, GO:0004375
ECRY2_DN0_c0_g13686_i1.p1	GO:0030627, GO:0003729, GO:0030619, GO:0000395, GO:0005634, GO:0000243, GO:0000387, GO:0071004, GO:0005685, GO:0008270, GO:0000398
ECRY2_DN0_c0_g9811_i1.p1	GO:0033743, GO:0005737, GO:0005829, GO:0030240, GO:0008407, GO:0006979, GO:0030091, GO:0008270, GO:0005634, GO:0030041, GO:0005856, GO:0007411, GO:0005654
ECRY2_DN0_c0_g6630_i1.p1	GO:0007339, GO:0016020, GO:0016021, GO:0030154, GO:0007155, GO:0004222, GO:0006508, GO:0007283
ECRY2_DN0_c0_g4128_i1.p1	GO:0045292, GO:0005737, GO:0005829, GO:0071014, GO:0003684, GO:0005634, GO:0007049
ECRY2_DN0_c0_g15699_i1.p1	GO:0097431, GO:1901985, GO:0000235, GO:0072686, GO:0050896, GO:0060271, GO:0007601, GO:0032391, GO:0036064, GO:0005929, GO:0008017, GO:0042802, GO:0005737, GO:0001917, GO:0005813, GO:0005856
ECRY2_DN0_c0_g282_i1.p1	GO:0031410, GO:0005829, GO:0005634, GO:0000381, GO:0040003, GO:0080009, GO:0007391, GO:0061630, GO:0048471, GO:0045296, GO:0005737, GO:0030155, GO:0008270, GO:0005886, GO:0060429, GO:0036396, GO:0008258, GO:0035282, GO:0007494, GO:0016567, GO:0007427, GO:0007015, GO:0030237
ECRY2_DN0_c0_g5363_i1.p1	GO:0046872, GO:0040011, GO:0033563, GO:0005634
ECRY2_DN0_c0_g7706_i1.p1	GO:0005829, GO:0031398, GO:0005634, GO:0089720, GO:0046329, GO:1990001, GO:0016055, GO:2001271, GO:0061630, GO:0031624, GO:0048471, GO:1903688, GO:0005737, GO:1990381, GO:0008270, GO:0051726, GO:0006915, GO:0048800, GO:0005876, GO:0007283, GO:0046673, GO:0090263, GO:0045035, GO:0007298, GO:0007289, GO:0031625, GO:0061663, GO:0045116, GO:0043027, GO:0051865, GO:0022416, GO:0070936
ECRY2_DN0_c0_g3457_i1.p1	GO:0140297, GO:0040029, GO:0003690, GO:0042802, GO:0000122, GO:0005634, GO:0005654
ECRY2_DN0_c0_g14741_i1.p1	GO:0005886, GO:0016021, GO:0005515, GO:0001618, GO:0033005, GO:0031514, GO:0001786, GO:0009986, GO:0006911, GO:0046718
ECRY2_DN0_c0_g4049_i1.p1	GO:0007219, GO:0016020, GO:0001708, GO:0005112, GO:0040025, GO:0016021, GO:0045747, GO:0006970
ECRY2_DN0_c0_g2459_i1.p1	GO:0006508, GO:0005576, GO:0004252, GO:0005615
ECRY2_DN0_c0_g8489_i1.p1	GO:0016020, GO:0016021, GO:0031293, GO:0005737, GO:0070977, GO:1905897, GO:0046872, GO:0004222, GO:0008203, GO:0051091, GO:1990440
ECRY2_DN0_c0_g14292_i1.p1	GO:0008134, GO:0051082, GO:0050821, GO:0042691, GO:0009408, GO:0051085, GO:0000122, GO:0005737, GO:0005829, GO:0051087
ECRY2_DN0_c0_g12214_i1.p1	GO:0010825, GO:0005815, GO:0046601, GO:0005814, GO:0005737, GO:0019894, GO:0019900, GO:0048133, GO:0005856
ECRY2_DN0_c0_g904_i1.p1	GO:0051321, GO:0005515, GO:0005737, GO:0005634, GO:0010468, GO:0071108
ECRY2_DN0_c0_g15381_i1.p1	GO:0030479, GO:0051301, GO:0097320, GO:0007049, GO:0051285, GO:0005515, GO:1903475, GO:0005856, GO:0008289, GO:1990528, GO:0031097, GO:0106006, GO:0051666, GO:0000917, GO:0007015, GO:0043332, GO:0006897
ECRY2_DN0_c0_g6939_i1.p1	GO:0000977, GO:0005662, GO:0005634, GO:0071987, GO:0000398, GO:0005654, GO:0008157, GO:0006281, GO:0048471, GO:0042802, GO:0005737, GO:0019901, GO:0001222, GO:0003723, GO:0043522, GO:1990090, GO:0032993, GO:0071007, GO:1904568, GO:0045944, GO:0000974, GO:0016607, GO:0000077, GO:0001228, GO:0000278
ECRY2_DN0_c0_g7051_i1.p1	GO:0043066, GO:2000346, GO:2000178, GO:0005925, GO:0005886, GO:0005737, GO:0005829, GO:1900026, GO:0005634, GO:0046872, GO:2001046, GO:0098609, GO:0045216, GO:0005911
ECRY2_DN0_c0_g10619_i1.p1	GO:0005739, GO:0005759, GO:0031410, GO:0061014, GO:0045944, GO:0006281, GO:0009267, GO:0003682, GO:0005737, GO:0005829, GO:0043022, GO:0005634, GO:0003677, GO:0005654
ECRY2_DN0_c0_g8117_i1.p1	GO:1905379, GO:0016020, GO:0102148, GO:0005829, GO:0000272, GO:0042582, GO:0006032, GO:0043202, GO:0004563
ECRY2_DN0_c0_g13939_i1.p1	GO:0007062, GO:0051301, GO:0003682, GO:0006261, GO:0042555, GO:0005634, GO:0007049
ECRY2_DN0_c0_g10618_i1.p1	GO:0004831, GO:0006412, GO:0005524, GO:0005829, GO:0005737, GO:0006418
ECRY2_DN0_c0_g3644_i1.p1	GO:0042391, GO:0005515, GO:0045211, GO:1902476, GO:0007268, GO:0030594, GO:0007165, GO:0005326, GO:0005887, GO:0005886, GO:0050877, GO:1902711, GO:0005230, GO:0006836, GO:0004890, GO:0034707, GO:0005254, GO:0045202, GO:0043005
ECRY2_DN0_c0_g8828_i1.p1	GO:0005887, GO:0008284, GO:0005515, GO:0016020
ECRY2_DN0_c0_g2259_i1.p1	GO:0005815, GO:0060271, GO:0030317, GO:0005515, GO:0005737, GO:0036159, GO:0005874, GO:0031514, GO:0015630
ECRY2_DN0_c0_g8470_i1.p1	GO:0005739, GO:0030170, GO:0051536, GO:0070903, GO:1990221, GO:0005829, GO:0044571, GO:0046872, GO:0031071, GO:0005634
ECRY2_DN0_c0_g10146_i1.p1	GO:0005886, GO:0006278, GO:0090305, GO:0003964, GO:0046872, GO:0004519
ECRY2_DN0_c0_g11940_i1.p1	GO:0009658, GO:0005515, GO:0045893, GO:0005634, GO:0007623, GO:0010099
ECRY2_DN0_c0_g8603_i1.p1	GO:0000272, GO:0005576, GO:0030246, GO:0030115
ECRY2_DN0_c0_g4301_i1.p1	GO:0005739, GO:0016021, GO:0006839, GO:0015228, GO:0009409, GO:0005743
ECRY2_DN0_c0_g12902_i1.p1	GO:0007281, GO:0005886, GO:0005912, GO:0005737, GO:0003779, GO:0002119, GO:0030056, GO:0005874, GO:0016324, GO:0031122, GO:0005856
ECRY2_DN0_c0_g9375_i1.p1	GO:0030176, GO:0005789, GO:0052926, GO:0052918, GO:0005783, GO:0006487, GO:0006488, GO:0097502
ECRY2_DN0_c0_g6817_i1.p1	GO:0005887, GO:0005886, GO:0015293, GO:0008028, GO:1902603, GO:0015226, GO:0015718
ECRY2_DN0_c0_g12370_i1.p1	GO:0030424, GO:0005576, GO:0005886, GO:0070593, GO:0098632, GO:0007156, GO:0007411
ECRY2_DN0_c0_g9394_i1.p1	GO:0031031, GO:0051301, GO:1905758, GO:0051286, GO:0051285, GO:0050790, GO:0005515, GO:0005829, GO:0005096, GO:0032153, GO:0031097, GO:0007049
ECRY2_DN0_c0_g12501_i1.p1	GO:0000139, GO:0050790, GO:0048205, GO:0005096, GO:0046872
ECRY2_DN0_c0_g4086_i1.p1	GO:0005815, GO:0060271, GO:0030317, GO:0005515, GO:0005737, GO:0036159, GO:0005874, GO:0031514, GO:0015630
ECRY2_DN0_c0_g1639_i1.p1	GO:0032760, GO:0032735, GO:0031663, GO:0001878, GO:0005829, GO:0050731, GO:0004435, GO:0002224, GO:0140031, GO:0043069, GO:0002223, GO:0032026, GO:0071277, GO:0002281, GO:0006661, GO:0050853, GO:0061760, GO:0009395, GO:0002092, GO:1902808, GO:0033198, GO:0048471, GO:0005737, GO:0032755, GO:0032496, GO:0051209, GO:0043122, GO:0019722, GO:0060100, GO:0032747, GO:0150078, GO:0001784, GO:0032481, GO:0005886, GO:0002732, GO:1990782, GO:0097708, GO:0032587, GO:0043410, GO:1900227, GO:0097110, GO:0032733, GO:0007204, GO:0060907, GO:0032743, GO:0070884, GO:1903721, GO:0032237, GO:0019216, GO:0051092, GO:0048678, GO:0071396, GO:1903428, GO:0050852, GO:0032959, GO:0002316, GO:0050850, GO:0010634
ECRY2_DN0_c0_g11854_i1.p1	GO:0001849, GO:0032930, GO:0071354, GO:0032929, GO:0010288, GO:0010745, GO:0045087, GO:0005509, GO:0071277, GO:0031667, GO:0006953, GO:0032677, GO:1900006, GO:0032355, GO:0030426, GO:0042802, GO:0045429, GO:0046790, GO:0007568, GO:0015485, GO:0005615, GO:0045471, GO:0009314, GO:0042060, GO:0033574, GO:0001666, GO:0030175, GO:0050750, GO:0051258, GO:0006958, GO:0010988, GO:0005576, GO:0010888, GO:0010628, GO:0044793, GO:0071732, GO:0042310, GO:0030169, GO:0032945
ECRY2_DN0_c0_g2185_i1.p1	GO:0005524, GO:0005515, GO:0005829, GO:0006730, GO:0046872, GO:0004478, GO:0006556
ECRY2_DN0_c0_g10006_i1.p1	GO:0016240, GO:0034329, GO:0000421, GO:0005730, GO:0017128, GO:1990456, GO:0007030, GO:0016021, GO:0098609, GO:0005886, GO:0005789, GO:0000045, GO:0033116, GO:0007566, GO:0005783, GO:0005773, GO:0000407, GO:0012505, GO:0006914, GO:1901896, GO:0017121, GO:0042953
ECRY2_DN0_c0_g6673_i1.p1	GO:0030269, GO:0009737, GO:0005886, GO:0042631, GO:0016021, GO:0009631
ECRY2_DN0_c0_g5648_i1.p1	GO:0009566, GO:0005515, GO:0007340, GO:0030430, GO:0003723, GO:0007283
ECRY2_DN0_c0_g6822_i1.p1	GO:0032420, GO:0036064, GO:0010629, GO:0040015, GO:0045444, GO:1905515, GO:0005902, GO:0060296, GO:0030534, GO:0005737, GO:0031514, GO:0014824, GO:0007288, GO:0040018, GO:0005886, GO:0034464, GO:0033365, GO:0021987, GO:0044321, GO:0021756, GO:0060170, GO:0038108, GO:0005856, GO:0045494, GO:0007601, GO:0061629, GO:0048854, GO:0021766, GO:0042311, GO:0051216, GO:0043001
ECRY2_DN0_c0_g15509_i1.p1	GO:0003724, GO:0006364, GO:0016887, GO:0005524, GO:0009658, GO:0005737, GO:0009507, GO:0042254, GO:0008270, GO:0005634, GO:0003723, GO:0000373
ECRY2_DN0_c0_g2446_i1.p1	GO:0050790, GO:0006470, GO:0005737, GO:0000775, GO:0005634, GO:0030289, GO:0000278, GO:0019888, GO:0045879
ECRY2_DN0_c0_g10149_i1.p1	GO:0005786, GO:0006614, GO:0005737, GO:0045900, GO:0008312
ECRY2_DN0_c0_g744_i1.p1	GO:0048254, GO:0016074, GO:0070761, GO:0005737, GO:0005634, GO:0000463, GO:0046872, GO:0000492
ECRY2_DN0_c0_g10642_i1.p1	GO:0004075, GO:0003989, GO:0000329, GO:0005524, GO:0005737, GO:0005829, GO:2001295, GO:0101026, GO:0006633, GO:0046872
ECRY2_DN0_c0_g4508_i1.p1	GO:0005576, GO:0005783, GO:0033344, GO:0005764, GO:0032367, GO:0015485, GO:0008203
ECRY2_DN0_c0_g14647_i1.p1	GO:0051321, GO:0003724, GO:0031047, GO:0016887, GO:0005524, GO:0030154, GO:0005737, GO:0005829, GO:0043186, GO:0031965, GO:0005694, GO:0005634, GO:0003676, GO:1990923, GO:0007283
ECRY2_DN0_c0_g4415_i1.p1	GO:0009507, GO:0042783, GO:0003924
ECRY2_DN0_c0_g15704_i1.p1	GO:0000139, GO:0006044, GO:0015014, GO:0005515, GO:0006486, GO:0016055, GO:0050509, GO:0016021, GO:0050508, GO:0090263, GO:0005789, GO:0005783, GO:0030206, GO:0046872, GO:0015012, GO:0005794, GO:0030210, GO:0045880, GO:0030513
ECRY2_DN0_c0_g1419_i1.p1	GO:0003729, GO:0031047, GO:0048024, GO:0005515, GO:0005737, GO:0005634, GO:0009792, GO:0006357, GO:0006974
ECRY2_DN0_c0_g8050_i1.p1	GO:0018990, GO:0005576, GO:0031395, GO:0071855, GO:0007593, GO:0007186, GO:0005184, GO:0046982
ECRY2_DN0_c0_g796_i1.p1	GO:0007249, GO:0005515, GO:0005634, GO:0043066, GO:0006915
ECRY2_DN0_c0_g1061_i1.p1	GO:0005739, GO:0005760, GO:0005759, GO:0071897, GO:0006264, GO:0090305, GO:0042645, GO:0030382, GO:0008296, GO:0005515, GO:0045004, GO:0003887, GO:0000001, GO:0003677, GO:0000166
ECRY2_DN0_c0_g7077_i1.p1	GO:0016020, GO:0000045, GO:0005737, GO:0005525, GO:0003925, GO:0006886, GO:0012505
ECRY2_DN0_c0_g11609_i1.p1	GO:0045471, GO:0030424, GO:0004767, GO:0040017, GO:0050290, GO:0046872, GO:0072347, GO:0009410, GO:1901424
ECRY2_DN0_c0_g3254_i1.p1	GO:0005794, GO:0005789, GO:0016021, GO:0033116, GO:0005783, GO:0042802, GO:0016192, GO:0030134
ECRY2_DN0_c0_g8079_i1.p1	GO:0005887, GO:0005886, GO:0032218, GO:0009792, GO:0032217
ECRY2_DN0_c0_g118_i1.p1	GO:0060050, GO:0004382, GO:0046032, GO:0005794, GO:0035262, GO:0000139, GO:0030154, GO:0046712, GO:0005737, GO:0043262, GO:0045134, GO:0006256, GO:0030334, GO:0030173, GO:0007506
ECRY2_DN0_c0_g535_i1.p1	GO:0000978, GO:0046872, GO:0000981, GO:0005634, GO:0006357
ECRY2_DN0_c0_g8425_i1.p1	GO:0005739, GO:0005515, GO:0005829, GO:0005737, GO:0009235
ECRY2_DN0_c0_g13340_i1.p1	GO:0030424, GO:0005739, GO:0007165, GO:0030425, GO:0034128, GO:1901214, GO:0030154, GO:0061809, GO:0035591, GO:0007399, GO:0045202, GO:0005737, GO:0045087, GO:0050135, GO:0048678, GO:0019677
ECRY2_DN0_c0_g174_i1.p1	GO:0000054, GO:0005783, GO:0005737, GO:0005829, GO:0015031, GO:0015030, GO:0005525, GO:0003924, GO:0005634
ECRY2_DN0_c0_g7531_i1.p1	GO:0051898, GO:0005604, GO:0005925, GO:0043403, GO:0060055, GO:0005912, GO:0098982, GO:0042169, GO:0001618, GO:0016010, GO:0005509, GO:0045211, GO:0005634, GO:0009897, GO:0060441, GO:0006509, GO:0033268, GO:0005654, GO:0010470, GO:0008307, GO:0016323, GO:0098696, GO:0043034, GO:0098942, GO:0043434, GO:0098978, GO:0016021, GO:0005737, GO:1904261, GO:0007568, GO:0017166, GO:0071711, GO:0030027, GO:0014044, GO:0044853, GO:0042383, GO:0005615, GO:0021675, GO:0014037, GO:0034453, GO:0045860, GO:0048714, GO:0070938, GO:0034399, GO:0031643, GO:0010717, GO:0002162, GO:0030175, GO:0050807, GO:0005856, GO:0005576, GO:0016011, GO:0051393, GO:0016340, GO:0021682, GO:0031103, GO:0071679, GO:0016203, GO:0015631, GO:0022011, GO:0030336, GO:0043409, GO:0003779, GO:0099524, GO:0043237, GO:0014894, GO:0071260, GO:0002011, GO:0071397, GO:0060445, GO:0001954, GO:0046718
ECRY2_DN0_c0_g13426_i1.p1	GO:0005886, GO:0016021, GO:0004222, GO:0046872, GO:0016485
ECRY2_DN0_c0_g9380_i1.p1	GO:0030476, GO:0051321, GO:0005619, GO:0005789, GO:0030435, GO:0005783, GO:0004222, GO:0008270, GO:0006508
ECRY2_DN0_c0_g11058_i1.p1	GO:0005576, GO:0005515, GO:0007521
ECRY2_DN0_c0_g2696_i1.p1	GO:0048046, GO:0010951, GO:0004867, GO:0140403
ECRY2_DN0_c0_g5956_i1.p1	GO:0016055, GO:0012506, GO:0005886, GO:0090263, GO:0031410, GO:0016021, GO:0002020
ECRY2_DN0_c0_g12909_i1.p1	GO:0009968, GO:0061630, GO:0045296, GO:0005737, GO:0032006, GO:0006979, GO:0008270, GO:0008258, GO:0006915
ECRY2_DN0_c0_g3807_i1.p1	GO:0019827, GO:0001556, GO:0071044, GO:0005515, GO:0005829, GO:0005634, GO:0005730, GO:0070062, GO:0000289, GO:0005737, GO:0071076, GO:0010587, GO:0008270, GO:0005615, GO:0010526, GO:0036464, GO:0035198, GO:0031047, GO:1990074, GO:0031054, GO:0050265
ECRY2_DN0_c0_g2023_i1.p1	GO:0005794, GO:0005886, GO:0000139, GO:0098560, GO:0031902, GO:0098574, GO:0005737, GO:0009898, GO:0005765, GO:0005764, GO:0001817, GO:0005768, GO:0008270, GO:0005634, GO:0031901, GO:0003677, GO:0098559
ECRY2_DN0_c0_g6197_i1.p1	GO:0018095, GO:0005929, GO:0005524, GO:0015631, GO:0000226, GO:0070740, GO:0019098, GO:0046872
ECRY2_DN0_c0_g8159_i1.p1	GO:0008092, GO:0004725, GO:0005737, GO:0016529, GO:0006470, GO:0005856
