CCFQ1_DN4592_c0_g1_i2.p1	GO:0006749, GO:0005576, GO:0004364
CCFQ1_DN6649_c0_g1_i1.p1	GO:0005685, GO:0007281, GO:0015030, GO:0000398, GO:0005634, GO:0003723, GO:0007283, GO:0005682, GO:0008406, GO:0005829, GO:0046540, GO:0071013, GO:0071004, GO:0005686, GO:0071011, GO:0005687, GO:0045495
CCFQ1_DN25016_c0_g1_i1.p1	GO:0016021, GO:0055085, GO:0000139, GO:0005315, GO:0005794, GO:0009624
CCFQ1_DN16474_c0_g1_i1.p1	GO:0004832, GO:0002161, GO:0006412, GO:0006438, GO:0106074, GO:0005524, GO:0005737
CCFQ1_DN825_c0_g1_i12.p1	GO:0102148, GO:0006032, GO:0005764, GO:0004563, GO:0016020, GO:0000272
CCFQ1_DN11118_c0_g1_i1.p1	GO:0005524, GO:0005737, GO:0051321
CCFQ1_DN21604_c0_g1_i1.p2	GO:0042025, GO:0003723, GO:0016020, GO:0039660, GO:0046761, GO:0055036
CCFQ1_DN12080_c0_g2_i1.p1	GO:0002009, GO:0004712, GO:0045087, GO:0018108, GO:0046664, GO:0031234, GO:0005102, GO:0030154, GO:0004715, GO:0031034, GO:0005524, GO:0008258, GO:0007169
CCFQ1_DN10342_c0_g1_i1.p1	GO:1902358, GO:1902476, GO:0019532, GO:0015701, GO:0015301, GO:0016020, GO:0008271, GO:0015106, GO:0005887, GO:0019531, GO:0015108
CCFQ1_DN34681_c0_g1_i1.p1	GO:0021747, GO:0015698, GO:0061299, GO:0031410, GO:0005886, GO:0046666, GO:0035725, GO:0032420, GO:0016021, GO:0016324, GO:0016323, GO:0008510, GO:0005515, GO:0005452, GO:0060219, GO:0015701, GO:0098656, GO:0007601, GO:0060117, GO:0045202, GO:0005737, GO:0051453
CCFQ1_DN6215_c0_g2_i2.p1	GO:0005085, GO:0050790, GO:0005737, GO:0035556, GO:0035025
CCFQ1_DN3818_c0_g1_i1.p1	GO:0005777, GO:0019619, GO:0005739, GO:0033812, GO:0005829, GO:0042952, GO:0005737
CCFQ1_DN1001_c0_g2_i1.p1	GO:0007399, GO:0008045, GO:0045087, GO:0008083, GO:0002225, GO:0031637, GO:0005615, GO:0005576, GO:0008592, GO:0005121, GO:0008063, GO:0021556, GO:0010941
CCFQ1_DN32302_c0_g1_i1.p1	GO:0000379, GO:0000213, GO:0003676, GO:0019033, GO:0090502, GO:0044177, GO:0030430, GO:0006388
CCFQ1_DN23002_c0_g1_i1.p1	GO:0016021, GO:0033644, GO:0016020, GO:0055036, GO:0016032, GO:0005201, GO:0030246
CCFQ1_DN9032_c0_g1_i2.p1	GO:0005694, GO:0005634, GO:0071162, GO:0006260, GO:0005515, GO:0000811
CCFQ1_DN11552_c0_g1_i1.p1	GO:0005739, GO:0033673, GO:0031647, GO:0005524
CCFQ1_DN2862_c0_g1_i1.p1	GO:0003779, GO:0048512, GO:0045938, GO:0032225, GO:0008344, GO:0005737
CCFQ1_DN12558_c0_g1_i1.p1	GO:0005507, GO:0005739, GO:0005829, GO:0051085, GO:0140662, GO:0005576, GO:0009408, GO:0051082, GO:0051087, GO:0005524, GO:0005759
CCFQ1_DN8244_c1_g1_i1.p1	GO:0005739, GO:0099617, GO:0097745, GO:0032931, GO:0005759
CCFQ1_DN338_c0_g2_i1.p1	GO:0002052, GO:0000978, GO:0005634, GO:0097150, GO:0008134, GO:0009952, GO:0046983, GO:0000981, GO:0030154, GO:0007219, GO:0048190, GO:0007399, GO:0000122
CCFQ1_DN42710_c0_g1_i2.p1	GO:0005739, GO:0000002, GO:0046872
CCFQ1_DN12384_c0_g1_i1.p1	GO:0007186, GO:0016020, GO:0016021, GO:0004930
CCFQ1_DN10246_c0_g2_i2.p1	GO:0046872, GO:0005764, GO:0046513, GO:0061750, GO:0005615, GO:0006685, GO:0005576, GO:1905691, GO:0016798
CCFQ1_DN23502_c0_g1_i1.p1	GO:0051493, GO:0006508, GO:0071230, GO:0005509, GO:0005886, GO:0004198, GO:0005737, GO:0030425
CCFQ1_DN1722_c0_g1_i13.p1	GO:0039724, GO:0039696, GO:0005739, GO:0030683, GO:0039689, GO:0016887, GO:0005524
CCFQ1_DN1440_c0_g1_i2.p1	GO:0016607, GO:0000398, GO:0005634, GO:0003723, GO:0000381, GO:0005737
CCFQ1_DN3103_c0_g1_i4.p1	GO:0005789, GO:0016021, GO:0051604, GO:0019842, GO:0005783, GO:0008488
CCFQ1_DN40397_c0_g1_i1.p1	GO:1904263, GO:0005654, GO:0031503, GO:0034198, GO:0005764, GO:0005829, GO:0061700, GO:0030054, GO:0005765, GO:1904262, GO:0005737, GO:0005515
CCFQ1_DN9987_c0_g1_i1.p1	GO:0033186, GO:0005694, GO:0031497, GO:0035098, GO:0005634, GO:0000781, GO:0007049, GO:0006260, GO:0042393
CCFQ1_DN31796_c0_g1_i1.p1	GO:0016491, GO:0016021, GO:0046872, GO:0016020, GO:0008203, GO:0051537, GO:0005737
CCFQ1_DN9745_c5_g1_i1.p1	GO:0110069, GO:0005856, GO:0051015, GO:0005546, GO:0005884, GO:0005547, GO:0001725, GO:0051017, GO:0005737, GO:0016476
CCFQ1_DN10166_c0_g1_i2.p1	GO:0005634, GO:0003682, GO:0042803, GO:0070301, GO:0005737, GO:0003713
CCFQ1_DN16710_c0_g1_i1.p1	GO:0045138, GO:0040015, GO:0005615, GO:0005576, GO:0004867
CCFQ1_DN39487_c0_g1_i1.p1	GO:1903507, GO:0040027, GO:0005634, GO:0006355, GO:0009968, GO:0050767, GO:0009792, GO:0005515, GO:0070176
CCFQ1_DN4332_c0_g1_i1.p1	GO:0000055, GO:0070180, GO:2000200, GO:0005730, GO:0005654, GO:0005634, GO:0042254, GO:0003924, GO:0005525, GO:0005515, GO:0030687
CCFQ1_DN22178_c0_g1_i1.p1	GO:0005856, GO:0005654, GO:0000978, GO:0005634, GO:0004879, GO:0008270, GO:0030522, GO:0006357, GO:0005737
CCFQ1_DN44315_c0_g1_i1.p1	GO:0070935, GO:0005634, GO:0003730, GO:0007283, GO:0032991, GO:0030154, GO:0005737, GO:0005515, GO:0008494, GO:0045948
CCFQ1_DN11035_c0_g1_i1.p1	GO:0051050, GO:0009506, GO:0005832, GO:0005829, GO:0006457, GO:0140662, GO:0016887, GO:0051082, GO:0005524, GO:0005737
CCFQ1_DN9721_c1_g2_i1.p1	GO:0051286, GO:0051321, GO:0005198, GO:0005737, GO:0032153
CCFQ1_DN6615_c0_g1_i1.p1	GO:0044156, GO:0016021, GO:0043657, GO:0044177, GO:0016020, GO:0019031, GO:0044178, GO:0030683, GO:0055036, GO:0020002, GO:0005112
CCFQ1_DN4367_c0_g1_i2.p1	GO:0016324, GO:0018991, GO:0098592, GO:0040026, GO:0005886, GO:0040025, GO:0009792, GO:0002119, GO:0016746, GO:0000902
CCFQ1_DN11277_c0_g1_i2.p1	GO:0016021, GO:0004930, GO:0042594, GO:0008340, GO:0005886, GO:0007166, GO:0048856, GO:0007186
CCFQ1_DN2509_c0_g1_i2.p1	GO:0016021, GO:0009311, GO:0009100, GO:0006486, GO:0001665, GO:0047290, GO:0001574, GO:0000139, GO:0005794, GO:0097503, GO:0006677
CCFQ1_DN36837_c0_g1_i2.p1	GO:0044877, GO:1990166, GO:0005654, GO:0005634, GO:0035861, GO:0006281, GO:0034184, GO:2000781, GO:0031334, GO:0031625, GO:0000785
CCFQ1_DN5344_c0_g1_i1.p1	GO:0017124, GO:0060326, GO:0007010, GO:0005829, GO:0016020, GO:0030971, GO:0006915, GO:0098609, GO:0005737, GO:0006909, GO:0007015
CCFQ1_DN10412_c0_g1_i4.p1	GO:1902476, GO:0098982, GO:0032590, GO:0005237, GO:0005886, GO:0045211, GO:1902711, GO:0007417, GO:0034707, GO:0008503, GO:0060078, GO:0043005, GO:0022851, GO:0098794, GO:0050877, GO:1904315, GO:0007165, GO:0051932, GO:0004890, GO:0099060, GO:0007214
CCFQ1_DN22765_c0_g1_i1.p1	GO:0000775, GO:0005634, GO:0005694, GO:0000776, GO:0051301, GO:0007059, GO:0051321, GO:0034087, GO:0005515, GO:0008608
CCFQ1_DN7669_c0_g1_i3.p1	GO:0045732, GO:0045886, GO:0019005, GO:0005634, GO:0007274, GO:0016567, GO:0005938, GO:0031594, GO:0007399, GO:0005515, GO:0010629, GO:0045495
CCFQ1_DN10922_c0_g1_i1.p1	GO:0005764, GO:0005975, GO:0006516, GO:0004567
CCFQ1_DN13172_c0_g1_i1.p1	GO:0005634, GO:0045746, GO:0005112, GO:1900020, GO:0002264, GO:1902806, GO:1901224, GO:0043066, GO:0010739, GO:0005635, GO:0034605, GO:0005856, GO:0031965, GO:0043620, GO:1903706, GO:0005816, GO:0034399, GO:0006915, GO:0005737
CCFQ1_DN5572_c0_g1_i1.p1	GO:0004930, GO:0042277, GO:0005886, GO:0005887, GO:0043005, GO:0007186
CCFQ1_DN8729_c0_g1_i2.p1	GO:0019073, GO:0042025, GO:0006397, GO:0008380, GO:0005515
CCFQ1_DN27515_c0_g1_i1.p1	GO:0006072, GO:0005789, GO:0006127, GO:0005783, GO:0015169, GO:0061513, GO:0015794, GO:0030176, GO:0035435, GO:0015760, GO:0008643
CCFQ1_DN6345_c0_g1_i2.p1	GO:0005856, GO:0005813, GO:1902857, GO:0007099, GO:1904951, GO:0008022, GO:0005814, GO:0005737, GO:0010457
CCFQ1_DN22479_c0_g1_i1.p1	GO:0031651, GO:0060613, GO:0071878, GO:0120163, GO:0005764, GO:0001659, GO:0005886, GO:0090327, GO:0005769, GO:0015031, GO:0051443, GO:0031699, GO:0005737, GO:0043588
CCFQ1_DN1392_c0_g2_i2.p1	GO:0022008, GO:0005634, GO:0035064, GO:0003682, GO:0007419, GO:0035186, GO:0042060, GO:0007385, GO:0043565, GO:2001229, GO:0005700, GO:0031507, GO:0016322, GO:0005704, GO:0006357, GO:0045892, GO:0005730, GO:0035102, GO:0009948, GO:0000785
CCFQ1_DN6338_c0_g1_i6.p1	GO:0045167, GO:0034198, GO:0005886, GO:1903427, GO:0016021, GO:0002347, GO:0040015, GO:0005164, GO:0005576, GO:0033209, GO:0045176, GO:0050829, GO:1900074, GO:0070050, GO:1904058, GO:0035006, GO:2000379, GO:0014009, GO:0030335, GO:0043652, GO:0010942, GO:0005615, GO:0006915, GO:0005125
CCFQ1_DN600_c0_g1_i10.p1	GO:0046712, GO:0000287, GO:0046067, GO:0044715, GO:0016529, GO:0044716, GO:0046057, GO:0044717
CCFQ1_DN17386_c0_g1_i1.p1	GO:0005080, GO:0008201, GO:0009566, GO:0005509, GO:0005576, GO:0070050, GO:0005737
CCFQ1_DN12606_c0_g1_i1.p1	GO:0007032, GO:0010008, GO:0005770, GO:0016324, GO:0046872, GO:0006897, GO:0008333, GO:0005938, GO:0005886, GO:0005769, GO:0035091
CCFQ1_DN25397_c0_g1_i1.p1	GO:0003676, GO:0046872, GO:0005634, GO:0045950, GO:0090305, GO:0008408
CCFQ1_DN3410_c0_g2_i1.p1	GO:0007032, GO:2001244, GO:0046872, GO:0005764, GO:0005634, GO:0072659, GO:0048471, GO:0010314, GO:0006915, GO:0070273, GO:0010508, GO:0005737, GO:0005768, GO:0032266
CCFQ1_DN27659_c0_g1_i1.p1	GO:0005730, GO:0005634, GO:0000460, GO:0005684, GO:0005515
CCFQ1_DN15952_c0_g1_i1.p1	GO:0006893, GO:0000145, GO:0090522, GO:0031267, GO:0006886, GO:0006887
CCFQ1_DN7954_c0_g1_i2.p1	GO:0016936, GO:0016021, GO:0016020, GO:0019031, GO:0046718, GO:0055036, GO:0098670, GO:0030246
CCFQ1_DN370_c0_g1_i2.p1	GO:0046872, GO:0007306, GO:0020037, GO:0004601, GO:0098869, GO:0001516, GO:0007304, GO:0006979, GO:0005615, GO:0005576, GO:0042744, GO:0030707, GO:0048477
CCFQ1_DN5247_c0_g1_i4.p1	GO:0097352, GO:0016021, GO:0005764, GO:0000421, GO:0031410, GO:0005765, GO:0006914, GO:0005737, GO:0032266
CCFQ1_DN27940_c0_g1_i1.p1	GO:0016021, GO:0016020, GO:0006974, GO:0016740, GO:0000282
CCFQ1_DN21608_c0_g1_i1.p1	GO:0019033, GO:0044177, GO:0016032, GO:0030430, GO:0005515
CCFQ1_DN14762_c0_g1_i2.p1	GO:0042973, GO:0009277, GO:0009986, GO:0102483, GO:0005576, GO:0030245, GO:0042124, GO:0071555
CCFQ1_DN33901_c0_g1_i1.p1	GO:0046802, GO:0042025, GO:0046872, GO:0016020, GO:0046765, GO:0044201
CCFQ1_DN15511_c0_g1_i1.p1	GO:0016021, GO:0016020, GO:0006974, GO:0000282, GO:0005515
CCFQ1_DN14281_c0_g1_i2.p1	GO:0003924, GO:0032527, GO:0005525, GO:0005737
CCFQ1_DN31916_c0_g1_i1.p1	GO:0006508, GO:0008270, GO:0005615, GO:0005576, GO:0004181
CCFQ1_DN4860_c0_g1_i1.p1	GO:0001917, GO:0007165, GO:0001750, GO:0042995, GO:0001664, GO:0016020, GO:0005829, GO:0051219, GO:0002031, GO:0002046
CCFQ1_DN42846_c0_g1_i1.p1	GO:0005654, GO:0035064, GO:0005829, GO:0006355, GO:0007276
CCFQ1_DN7625_c0_g1_i1.p1	GO:0005737, GO:0006468, GO:0008887
CCFQ1_DN10908_c0_g1_i1.p1	GO:0005730, GO:0006383, GO:0005634, GO:0016592, GO:0006384, GO:0003677, GO:0000995
CCFQ1_DN29895_c0_g1_i1.p1	GO:0000028, GO:0022627, GO:0005654, GO:0002181, GO:0003735, GO:0016020, GO:0005829, GO:0022626, GO:0070062, GO:0006413, GO:0006450, GO:0003729, GO:0019843, GO:0005737, GO:0005515, GO:0005925
CCFQ1_DN16688_c0_g1_i1.p1	GO:0016021, GO:0005739, GO:0005741, GO:0016887, GO:0140570, GO:0005524
CCFQ1_DN26863_c0_g1_i1.p1	GO:0048749, GO:0008201, GO:0007224, GO:0048100, GO:0035017, GO:0015026, GO:0016020, GO:0035230, GO:0009986, GO:0071694, GO:0034109, GO:0007379, GO:0005887, GO:0042803, GO:0005113, GO:0097108
CCFQ1_DN39237_c0_g1_i1.p1	GO:0004523, GO:0003964, GO:0006508, GO:0006278, GO:0090502, GO:0006310, GO:0075732, GO:0042025, GO:0003723, GO:0046872, GO:0046718, GO:0004190, GO:0075713, GO:0015074, GO:0030430, GO:0044826, GO:0003887
CCFQ1_DN21625_c0_g1_i2.p1	GO:0005739, GO:0050684, GO:0006397, GO:0003723, GO:0005515
CCFQ1_DN17312_c0_g1_i1.p1	GO:0005515, GO:0046740, GO:0044219
CCFQ1_DN40918_c0_g1_i1.p1	GO:0007193, GO:0004016, GO:0042594, GO:0046872, GO:0040015, GO:0006171, GO:0005886, GO:0005887, GO:0007189, GO:0005524, GO:0035556, GO:0002165
CCFQ1_DN11919_c0_g1_i1.p1	GO:0043065, GO:0005546, GO:0005547, GO:0043325, GO:0010314, GO:0006915, GO:0005886, GO:0042771, GO:0080025, GO:0051898, GO:0005737, GO:0032266
CCFQ1_DN27261_c0_g1_i1.p1	GO:0016021, GO:2000640, GO:0000139, GO:0005794, GO:0005515
CCFQ1_DN28213_c0_g1_i1.p1	GO:0032197, GO:0030430, GO:0008270, GO:0003676
CCFQ1_DN7962_c0_g1_i1.p1	GO:0005085, GO:0005764, GO:0060090, GO:0071986, GO:0005776, GO:0051321, GO:0005811
CCFQ1_DN905_c0_g1_i4.p1	GO:0007160, GO:0070527, GO:0005615, GO:0005576, GO:0030168, GO:0005515, GO:0007596, GO:0072378, GO:0062023, GO:0051258
CCFQ1_DN35458_c0_g1_i1.p1	GO:0005886, GO:0040025, GO:0000003, GO:0051321, GO:0001708, GO:0004712, GO:0030154, GO:0006468, GO:0031267, GO:0106310, GO:0005524, GO:0002119, GO:0007265, GO:0050830, GO:0046872, GO:0005829, GO:0000165, GO:0005737, GO:0004709, GO:0048477
CCFQ1_DN31243_c0_g1_i1.p1	GO:0004712, GO:0046872, GO:0045727, GO:0106310, GO:0045793, GO:0030424, GO:0005524, GO:0045202, GO:0005515, GO:0005737, GO:0050321, GO:0030425, GO:0004674
CCFQ1_DN42670_c0_g1_i1.p1	GO:0007224, GO:0007507, GO:0046872, GO:0030324, GO:0005634, GO:0035720, GO:0001822, GO:0007283, GO:0060271, GO:0030154, GO:0015031, GO:0001501, GO:0005515, GO:0070986
CCFQ1_DN11997_c0_g1_i1.p1	GO:0004115, GO:0046872, GO:0005829, GO:0045202, GO:0019933, GO:0006198
CCFQ1_DN22184_c0_g1_i1.p1	GO:0005856, GO:0036126, GO:0005813, GO:0007283, GO:0005874, GO:0030154, GO:0005814, GO:0005737, GO:0005515, GO:0000922
CCFQ1_DN14255_c0_g1_i2.p1	GO:0005654, GO:0030490, GO:0005730, GO:0042274, GO:0005634, GO:0010467, GO:0032040, GO:0030686, GO:0034457, GO:0019843, GO:0042254, GO:0005515, GO:0030515
CCFQ1_DN10313_c0_g1_i2.p1	GO:0031672, GO:0016567, GO:0031463, GO:0005737, GO:0005515, GO:0031674
CCFQ1_DN11869_c0_g1_i1.p1	GO:0005576, GO:0007204, GO:0043005, GO:0031773, GO:0007186
CCFQ1_DN18026_c0_g1_i1.p1	GO:0016607, GO:0000398, GO:0005634, GO:0042802, GO:0000244, GO:0046540, GO:0005681
CCFQ1_DN8070_c1_g1_i1.p1	GO:0016021, GO:0004930, GO:0007601, GO:0016020, GO:0009881, GO:0007186, GO:0018298, GO:0007602
CCFQ1_DN44799_c0_g1_i1.p1	GO:0005634, GO:0006904, GO:0061025, GO:0005829, GO:0015031, GO:0005737, GO:0005515, GO:0032120
CCFQ1_DN2695_c0_g1_i1.p1	GO:0016021, GO:0051119, GO:0034219, GO:0005886, GO:0015574, GO:0015771
CCFQ1_DN4019_c0_g1_i2.p1	GO:0006482, GO:0005829, GO:0051722, GO:0051721, GO:0005737
CCFQ1_DN865_c0_g1_i3.p1	GO:0048749, GO:2000737, GO:0000398, GO:0090263, GO:0005634, GO:0036396, GO:0080009, GO:0000381, GO:0035222, GO:0003729, GO:0030154, GO:0010628, GO:0071011, GO:0007548
CCFQ1_DN12620_c0_g1_i1.p1	GO:0010780, GO:0005634, GO:0005829, GO:0051321, GO:0005515
CCFQ1_DN2235_c0_g1_i3.p1	GO:0006869, GO:0005576, GO:0008289
CCFQ1_DN41989_c0_g1_i1.p1	GO:0005464, GO:0030173, GO:0000139, GO:1990569, GO:0015790, GO:0030176, GO:0005794, GO:0008643, GO:0005462
CCFQ1_DN28754_c0_g1_i1.p1	GO:0005856, GO:0007099, GO:0005814, GO:0005737, GO:0005515
CCFQ1_DN33168_c0_g1_i1.p1	GO:0008284, GO:0080008, GO:0005634, GO:0019901, GO:0007049, GO:0006511, GO:0031625, GO:0045860, GO:0000082
CCFQ1_DN4967_c0_g1_i1.p1	GO:0090729, GO:0016020, GO:0016021, GO:0035821
CCFQ1_DN1589_c0_g1_i2.p1	GO:0070006, GO:0097431, GO:0051321, GO:0046662, GO:1990947, GO:0051661, GO:0000793, GO:0042277, GO:0008270, GO:1903538, GO:0030154, GO:0030590, GO:1900195, GO:0008595, GO:0005856, GO:0043171, GO:0006508, GO:0005938, GO:0009792, GO:0048477
CCFQ1_DN28884_c0_g1_i1.p1	GO:0005634, GO:0000981, GO:0003677, GO:0006357
CCFQ1_DN2016_c0_g1_i7.p1	GO:0000413, GO:0005634, GO:0003755, GO:0006457, GO:0005886, GO:0005737
CCFQ1_DN37425_c0_g1_i1.p1	GO:0031597, GO:0030433, GO:0045899, GO:0005634, GO:0005829, GO:0008540, GO:0036402, GO:0045842, GO:0016887, GO:1901800, GO:0051306, GO:0005524, GO:0005737
CCFQ1_DN10225_c0_g1_i5.p1	GO:0051015, GO:0005546, GO:0005915, GO:0001786, GO:0005547, GO:0016331, GO:0150105
CCFQ1_DN476_c0_g1_i4.p1	GO:0007218, GO:0005576, GO:0042802
CCFQ1_DN16800_c0_g1_i2.p1	GO:0019101, GO:0035263, GO:0060548, GO:0005634, GO:0008134, GO:0016592, GO:0003712, GO:0030154, GO:0006357, GO:0048804, GO:0007548
CCFQ1_DN2950_c0_g2_i2.p1	GO:0004662, GO:0018343, GO:0004660, GO:0018344, GO:0005953, GO:0005737, GO:0005965
CCFQ1_DN24370_c0_g1_i1.p1	GO:0071805, GO:0032590, GO:0051260, GO:0016021, GO:0032809, GO:0008076, GO:0030424, GO:0034765, GO:0005251
CCFQ1_DN36686_c0_g1_i1.p1	GO:0006310, GO:0007129, GO:0007283, GO:0042138, GO:0051321, GO:0032039, GO:0005515, GO:0048477
CCFQ1_DN34755_c0_g1_i1.p1	GO:0030433, GO:0030968, GO:0005634, GO:0004843, GO:0016579, GO:0005515
CCFQ1_DN33722_c0_g1_i1.p1	GO:0005783, GO:0005737, GO:0005515, GO:0051321
CCFQ1_DN759_c0_g1_i6.p1	GO:0005654, GO:0051726, GO:0005634, GO:0000308, GO:0016055, GO:0005886, GO:0060828, GO:0004693, GO:0000086, GO:0004712, GO:0000083, GO:0051301, GO:0006468, GO:0106310, GO:0005524, GO:0030332, GO:0005829, GO:0007049, GO:0005737
CCFQ1_DN33_c0_g1_i21.p1	GO:0071365, GO:0009506, GO:0071369, GO:0008061, GO:0072732, GO:0005576, GO:0010054, GO:0071944
CCFQ1_DN12148_c0_g1_i1.p1	GO:0005730, GO:0005634, GO:0031418, GO:0031543, GO:0005829, GO:0005506, GO:0018188, GO:0005737, GO:0000785
CCFQ1_DN1408_c1_g1_i1.p1	GO:0061709, GO:0000422, GO:0120013, GO:0000045, GO:2000786, GO:0005576, GO:0120009, GO:0044805, GO:0032266, GO:0034727
CCFQ1_DN4408_c0_g1_i1.p1	GO:0005080, GO:0007163, GO:0016324, GO:0005634, GO:0007098, GO:0005938, GO:0060341
CCFQ1_DN31506_c0_g1_i1.p1	GO:0005634, GO:0048471, GO:0007049, GO:0051984, GO:0051301, GO:0034518, GO:0005737, GO:0007059, GO:0009792, GO:0005515, GO:0051781
CCFQ1_DN15871_c0_g1_i1.p2	GO:0045944, GO:0061304, GO:0060444, GO:0061178, GO:0016021, GO:0001702, GO:0042632, GO:0005739, GO:0015026, GO:0060349, GO:0048539, GO:0060612, GO:0002076, GO:0005886, GO:0005783, GO:0009952, GO:0043235, GO:0046849
CCFQ1_DN186_c0_g1_i1.p1	GO:0007281, GO:0018996, GO:0016021, GO:0016324, GO:0043186, GO:0005886, GO:0005737, GO:0017151
CCFQ1_DN24809_c0_g1_i1.p1	GO:0016021, GO:0033644, GO:0106330, GO:0106331, GO:0016020, GO:0030683, GO:0046789
CCFQ1_DN435_c0_g1_i4.p1	GO:0005730, GO:0005739, GO:0004739, GO:0034604, GO:0045254, GO:0006006, GO:0006099, GO:0061732, GO:0005759
CCFQ1_DN7258_c0_g1_i1.p1	GO:0006508, GO:0008270, GO:0005615, GO:0005576, GO:0004181
CCFQ1_DN20599_c0_g1_i1.p1	GO:0007165, GO:0005576, GO:0005179
