PAVE1_DN73601_c0_g1_i1.p1	GO:0005634, GO:0051059, GO:0051092
PAVE1_DN598_c0_g1_i12.p1	GO:0009616, GO:0005515, GO:0043186, GO:0005737, GO:0016887, GO:0005829, GO:0005524, GO:0003724, GO:0003723
PAVE1_DN40901_c0_g1_i1.p1	GO:0061041, GO:0050728, GO:0010760, GO:0060090, GO:0005737, GO:0060271, GO:0006954, GO:0070121, GO:0010764, GO:0005085, GO:0005929, GO:1900016, GO:0035869, GO:0015031
PAVE1_DN3801_c1_g2_i1.p1	GO:0016021, GO:1902476, GO:0005254, GO:0034707, GO:0005886
PAVE1_DN59494_c0_g1_i1.p1	GO:0046579, GO:0001755, GO:0005125, GO:0030175, GO:0002687, GO:0070668, GO:0005856, GO:0005173, GO:0097192, GO:0030027, GO:0005737, GO:0005576, GO:0035162, GO:0008584, GO:0033026, GO:0008083, GO:0043406, GO:0005886, GO:0045636, GO:0016021, GO:0005615, GO:0035234, GO:0050731, GO:1902035, GO:0002763, GO:0007155
PAVE1_DN77222_c0_g1_i1.p1	GO:0048260, GO:0002237, GO:0009410, GO:1990712, GO:0010977, GO:0002726, GO:0002503, GO:0071316, GO:0055072, GO:0034756, GO:0007608, GO:0071283, GO:0042613, GO:0042612, GO:0005576, GO:0050768, GO:0051289, GO:2000774, GO:0046686, GO:0042824, GO:1904434, GO:0009897, GO:0023026, GO:0019886, GO:0019885, GO:0002481, GO:0042803, GO:0001916, GO:0042026, GO:1900121, GO:1904437, GO:0005615, GO:1990000, GO:2000978, GO:0050870, GO:0007611, GO:0006826, GO:0050680, GO:0033077, GO:0045646, GO:0006955
PAVE1_DN28012_c0_g1_i1.p1	GO:0005856, GO:0006508, GO:0005509, GO:0005737, GO:0048471, GO:0004198, GO:0005876, GO:0005819
PAVE1_DN19362_c0_g1_i1.p2	GO:0006888, GO:0030173, GO:0000329, GO:0005794, GO:0005789, GO:0005484, GO:0061025, GO:0000139, GO:0005783, GO:0006891, GO:0006886
PAVE1_DN2475_c0_g1_i1.p1	GO:0016021, GO:0005515, GO:0005774, GO:0000324, GO:0030683, GO:0039503
PAVE1_DN523_c0_g1_i3.p1	GO:0032091, GO:0005634, GO:1901799, GO:0005515
PAVE1_DN30744_c0_g1_i1.p1	GO:0019221, GO:0019966, GO:0005576, GO:0030683, GO:0004908
PAVE1_DN27022_c0_g1_i1.p1	GO:0046872, GO:0016021, GO:0007596, GO:0005886, GO:0030194, GO:0046130, GO:0047710
PAVE1_DN47266_c0_g1_i1.p1	GO:0000932, GO:0003697, GO:0010494, GO:0005634, GO:0042802, GO:1990904, GO:0005737, GO:0005730, GO:0000166, GO:0003727, GO:0032197, GO:0005783, GO:0005764
PAVE1_DN78158_c0_g1_i1.p1	GO:0032310, GO:0046872, GO:0018119, GO:1900015, GO:0032757, GO:0005737, GO:0005829, GO:0004517, GO:0032755, GO:0005516, GO:0006809
PAVE1_DN81608_c0_g1_i1.p1	GO:0005634, GO:0046983, GO:0000978, GO:0000981, GO:0009793, GO:0006357
PAVE1_DN21558_c0_g1_i2.p1	GO:0008270, GO:0001894, GO:0005634, GO:0045862, GO:0031369, GO:0005863, GO:1903886, GO:0006511, GO:0003723, GO:0032897, GO:0061630, GO:0051155, GO:0043130, GO:0043621, GO:0005737, GO:0010508, GO:0007014, GO:0030335, GO:0045893, GO:1903265, GO:0051092, GO:0061564, GO:0044790, GO:0048147, GO:0045732, GO:0003713, GO:0045444, GO:0042802, GO:0050769, GO:0017022, GO:0010994, GO:1902230, GO:0030957, GO:0046716, GO:1903883, GO:0070936, GO:0045666, GO:0043123, GO:0045087, GO:0034612, GO:0009411, GO:0005829, GO:0030307, GO:0045787
PAVE1_DN19592_c0_g1_i1.p1	GO:0030509, GO:0016021, GO:0061065, GO:0040018, GO:1901048, GO:0031225, GO:0043235, GO:0030510, GO:0007501, GO:0005886, GO:0015026
PAVE1_DN10584_c0_g1_i6.p1	GO:0016021, GO:0005743, GO:0030150, GO:0004725, GO:0007006, GO:0005744, GO:0004722, GO:0006470, GO:0005739
PAVE1_DN2443_c0_g1_i2.p1	GO:0005654, GO:0005634, GO:0051301, GO:0032153, GO:0005935, GO:0006470, GO:0000776, GO:0004722, GO:1902406, GO:0005856, GO:0140602, GO:0005737, GO:1990023, GO:0034501, GO:0005730, GO:0000226, GO:0031536, GO:0006974, GO:0000922, GO:0044732, GO:0044878, GO:0072686, GO:0030428, GO:0110085, GO:0008138, GO:0035853, GO:0031031, GO:1902846, GO:0004725, GO:0120105, GO:1902440, GO:0140429, GO:0051321, GO:1903490, GO:1904789
PAVE1_DN47811_c0_g1_i2.p1	GO:0048856, GO:0030246, GO:0033644, GO:0016021, GO:0010468, GO:0030501, GO:0033689, GO:0030154, GO:0016020, GO:1903363, GO:0045669
PAVE1_DN72118_c0_g1_i1.p1	GO:0098003, GO:0099001, GO:0098015, GO:0051010
PAVE1_DN67298_c0_g1_i1.p1	GO:0008270, GO:0001894, GO:0005634, GO:0045862, GO:0031369, GO:0005863, GO:1903886, GO:0006511, GO:0003723, GO:0032897, GO:0061630, GO:0051155, GO:0043130, GO:0043621, GO:0005737, GO:0010508, GO:0007014, GO:0030335, GO:0045893, GO:1903265, GO:0051092, GO:0061564, GO:0044790, GO:0048147, GO:0045732, GO:0003713, GO:0045444, GO:0042802, GO:0050769, GO:0017022, GO:0010994, GO:1902230, GO:0030957, GO:0046716, GO:1903883, GO:0070936, GO:0045666, GO:0043123, GO:0045087, GO:0034612, GO:0009411, GO:0005829, GO:0030307, GO:0045787
PAVE1_DN12790_c3_g1_i1.p1	GO:0006487, GO:0016020, GO:0005515, GO:0016021
PAVE1_DN77463_c0_g1_i1.p1	GO:0016021, GO:0005515, GO:0016020, GO:0006672, GO:0046512, GO:0030133
PAVE1_DN15732_c1_g1_i6.p1	GO:0005634, GO:0032399, GO:0007283, GO:0007338
PAVE1_DN14473_c0_g1_i1.p1	GO:0046872, GO:0006633, GO:0003989, GO:0009317, GO:2001295, GO:0005737, GO:0005829, GO:0004075, GO:0005524
PAVE1_DN2041_c0_g1_i4.p1	GO:0005634, GO:0005829, GO:0006457, GO:0005524, GO:0140662
PAVE1_DN1934_c0_g1_i5.p1	GO:0005856, GO:0020037, GO:0005737, GO:0097037, GO:0015232
PAVE1_DN25382_c0_g1_i1.p1	GO:0007635, GO:0008074, GO:0046872, GO:0020037, GO:0019826, GO:0070027, GO:0070482, GO:0050913, GO:0005737, GO:0005525, GO:0070026, GO:0004383, GO:0038060, GO:0006182
PAVE1_DN33667_c0_g1_i1.p1	GO:0016021, GO:0006487, GO:0005789, GO:0004377, GO:0097502, GO:0006490
PAVE1_DN9821_c0_g1_i1.p1	GO:0005840, GO:0005634, GO:0030154, GO:1990904, GO:0005737, GO:0003735, GO:0005829, GO:0006412
PAVE1_DN85045_c0_g1_i1.p1	GO:0005856, GO:0000122, GO:0000781, GO:0005664, GO:0005815, GO:0008327, GO:0005721, GO:0005634, GO:0035098, GO:0005737, GO:0006325, GO:0071169, GO:0006260, GO:0031491, GO:0005694, GO:0000775, GO:0000776, GO:0035064
PAVE1_DN13194_c0_g1_i1.p1	GO:0034052, GO:0052542, GO:0005654, GO:0005634, GO:0007165, GO:0005737, GO:0061809, GO:0019677, GO:0050135
PAVE1_DN68313_c0_g1_i1.p1	GO:0061041, GO:0050728, GO:0010760, GO:0005737, GO:0060271, GO:0006954, GO:0070121, GO:0010764, GO:0005929, GO:1900016, GO:0035869, GO:0016491, GO:0015031
PAVE1_DN374_c0_g1_i15.p1	GO:0000281, GO:0008061, GO:0005576, GO:0007049, GO:0051301, GO:0009792
PAVE1_DN5580_c1_g1_i1.p1	GO:0030466, GO:0005634, GO:0005515, GO:0000781
PAVE1_DN3061_c0_g1_i3.p1	GO:0005634, GO:0032039, GO:0019901, GO:0034472
PAVE1_DN69754_c0_g1_i1.p1	GO:0046872, GO:0005634, GO:0030154, GO:0007281, GO:0000981, GO:0000978, GO:0007548, GO:0045893, GO:0008584, GO:0006357
PAVE1_DN25845_c0_g1_i1.p1	GO:0005874, GO:0030154, GO:0007399, GO:0051272, GO:0005856, GO:0031175, GO:0005737, GO:0007409, GO:0035024, GO:0048012, GO:0000281, GO:0031115, GO:0009615, GO:0061436, GO:0070495, GO:0007019, GO:0043005, GO:0016020, GO:0007052, GO:0005829, GO:1905098, GO:0015631, GO:0051497
PAVE1_DN41194_c0_g1_i1.p1	GO:0016021, GO:0045030, GO:0035589, GO:0045028, GO:0097746, GO:0005886, GO:0070257, GO:0031686, GO:0007200
PAVE1_DN37991_c0_g1_i1.p1	GO:0042147, GO:0005802, GO:1901981, GO:0005769, GO:0001881, GO:0005829, GO:0007032, GO:0055037
PAVE1_DN36239_c0_g1_i1.p1	GO:0007160, GO:0030055, GO:0050829, GO:0048738, GO:0005737, GO:0007229, GO:0048513, GO:0005178
PAVE1_DN75828_c0_g1_i1.p1	GO:0005634, GO:0046872, GO:0005515, GO:0006357
PAVE1_DN983_c0_g2_i2.p1	GO:0045666, GO:0005634, GO:0045892, GO:0003677, GO:0007399, GO:0045746
