NYGR1_DN1492_c0_g1_i2.p1	GO:0004364, GO:0006749, GO:0005737
NYGR1_DN1625_c1_g1_i1.p1	GO:0016323, GO:0006811, GO:0007632, GO:0005243, GO:0010496, GO:0007603, GO:0005886, GO:0016021, GO:0055085, GO:0005921
NYGR1_DN6907_c0_g1_i2.p1	GO:0070816, GO:0006367, GO:0046872, GO:0005675, GO:0005829, GO:0006289, GO:0016251, GO:0000439, GO:0005634
NYGR1_DN340_c0_g1_i1.p1	GO:0006357, GO:0046872, GO:0000981, GO:0000978, GO:0005634
NYGR1_DN1955_c0_g1_i3.p2	GO:0000329, GO:0032585, GO:0005085, GO:0005768, GO:0016192, GO:0035658, GO:0005829, GO:0032153, GO:0006623, GO:0005634, GO:0005773
NYGR1_DN1936_c0_g1_i2.p1	GO:1990756, GO:0005739, GO:0045454, GO:0005829, GO:0005783, GO:0032005
NYGR1_DN28534_c0_g1_i1.p1	GO:0052691, GO:0005576, GO:0033356, GO:0005829, GO:0009506, GO:0006486, GO:0009832, GO:0030244, GO:0071555, GO:0005794
NYGR1_DN33437_c0_g1_i1.p1	GO:0046330, GO:0030877, GO:0016055, GO:0031410, GO:0008013, GO:0005886, GO:0042803, GO:0090090, GO:0005634, GO:0005737
NYGR1_DN5203_c0_g1_i1.p1	GO:0006357, GO:0042802, GO:0005634
NYGR1_DN40634_c0_g1_i1.p1	GO:0070050, GO:0005654, GO:1901985, GO:0043014, GO:0071902, GO:0046777, GO:0006281, GO:0007095, GO:0097194, GO:0031489, GO:0007026, GO:0043539, GO:0032147, GO:0008022, GO:0019901, GO:0000226, GO:0004712, GO:0005524, GO:0046330, GO:0106310, GO:0032956, GO:0048487, GO:0006915, GO:0000165, GO:0048812, GO:0004674
NYGR1_DN30224_c0_g1_i1.p1	GO:0051321, GO:0046872, GO:0051308, GO:0030849, GO:0007141, GO:0005634
NYGR1_DN1763_c0_g1_i1.p1	GO:0006032, GO:0004099, GO:0005576, GO:0005615, GO:0008270, GO:0000272
NYGR1_DN995_c0_g2_i3.p1	GO:0008201, GO:0005576, GO:0007338
NYGR1_DN38296_c0_g1_i1.p1	GO:0045814, GO:0032259, GO:0003723, GO:0008168, GO:0005515, GO:0008033, GO:0005634
NYGR1_DN38966_c0_g1_i1.p1	GO:0016021, GO:0016020, GO:0016311, GO:0003993
NYGR1_DN15686_c0_g1_i1.p2	GO:0006915, GO:0016020, GO:0003723, GO:0006914, GO:0001844, GO:0008630, GO:0008625, GO:2000786, GO:0090200, GO:1903561, GO:0043065, GO:0042802, GO:0097192
NYGR1_DN20090_c0_g1_i1.p1	GO:0005518, GO:0042742, GO:0045089, GO:0005576, GO:0062023
NYGR1_DN20784_c0_g1_i2.p1	GO:0005739, GO:0003735, GO:0005840, GO:0005762, GO:0032543
NYGR1_DN2004_c0_g3_i3.p1	GO:0005856, GO:0005635, GO:0046872, GO:0034399, GO:0048288, GO:0005640, GO:0031316, GO:0016021, GO:0000742, GO:0005634, GO:0005816, GO:0005737
NYGR1_DN36030_c0_g1_i1.p1	GO:0016020, GO:0015807, GO:1902475, GO:0015293, GO:0016021, GO:0098656
NYGR1_DN16107_c0_g1_i1.p1	GO:0005509, GO:0003009, GO:0006937, GO:0051015, GO:0048306, GO:0005861
NYGR1_DN25724_c0_g1_i2.p1	GO:0005667, GO:0007399, GO:0000122, GO:0030154, GO:0071837, GO:0005654, GO:0140297, GO:0003714, GO:0008543, GO:0016055, GO:0045751, GO:0007541, GO:0007173, GO:0071906, GO:0008293, GO:0090090, GO:0005634
NYGR1_DN32808_c0_g1_i1.p1	GO:0005635, GO:0005829, GO:0031267, GO:0006606, GO:0005634, GO:0005737
NYGR1_DN39216_c0_g1_i1.p1	GO:0005856, GO:0005912, GO:0001917, GO:0008092, GO:0005886, GO:0031032, GO:0005737
NYGR1_DN10484_c0_g1_i1.p1	GO:0005524, GO:0004111, GO:0005576, GO:0046314, GO:0004054, GO:0005829, GO:0005886, GO:0016310, GO:0005737
NYGR1_DN4332_c0_g1_i2.p1	GO:0005789, GO:0051028, GO:0008298, GO:1990825, GO:0008289, GO:0005934, GO:0007533, GO:0005634, GO:0005737
NYGR1_DN1564_c0_g1_i1.p1	GO:0004176, GO:0009532, GO:0005739, GO:0006515, GO:0009840, GO:0005829, GO:0009536, GO:0009535, GO:0050897, GO:0008270, GO:0051117, GO:0004252
NYGR1_DN8076_c0_g1_i2.p1	GO:0005856, GO:0016323, GO:0005887, GO:0005068, GO:0032456, GO:0005080, GO:0051117, GO:0019904, GO:0005938, GO:0007169, GO:0015914, GO:0006612
NYGR1_DN13015_c0_g1_i1.p1	GO:0019774, GO:0000502, GO:0008233, GO:0010498, GO:0005515, GO:0005839, GO:0005634, GO:0005737
NYGR1_DN2799_c0_g1_i1.p2	GO:0005524, GO:0004639, GO:0006189, GO:0043727, GO:0004638, GO:0005829, GO:0005737
NYGR1_DN22491_c0_g1_i1.p1	GO:0000957, GO:0005739, GO:0046872, GO:0003676, GO:0032043, GO:0005743, GO:0090502, GO:0000014, GO:0005634, GO:0004521
NYGR1_DN34558_c0_g1_i1.p1	GO:0000794, GO:1905820, GO:0016020, GO:0051984, GO:0051301, GO:0000779, GO:0007049, GO:0005737, GO:0005829, GO:0005515, GO:0000796, GO:0007076, GO:0005634, GO:1905821
NYGR1_DN32681_c0_g1_i1.p2	GO:0090307, GO:0035840, GO:0061493, GO:0031322, GO:0044732, GO:0005829, GO:0035841, GO:0000935, GO:0005737, GO:0005856, GO:0005515, GO:0051300, GO:0050790, GO:1902441, GO:0030234, GO:0043332, GO:0032153, GO:0005634, GO:0005509, GO:0045160, GO:0035974, GO:0030437
NYGR1_DN2077_c1_g4_i2.p1	GO:0005694, GO:0042162, GO:0070187, GO:0000781, GO:0048239, GO:0010833, GO:0043123, GO:0031848, GO:0010569, GO:0051092, GO:0005634, GO:0005737
NYGR1_DN3203_c0_g3_i1.p1	GO:0000171, GO:0000447, GO:1905267, GO:0004526, GO:0005829, GO:0000294, GO:0008033, GO:0005655, GO:0034965, GO:0006364, GO:0000172, GO:0005634, GO:0005737
NYGR1_DN4916_c0_g1_i1.p1	GO:0045747, GO:0007399, GO:0030154, GO:0005856, GO:0007423, GO:0031625, GO:0001708, GO:0007219, GO:0005634, GO:0005816, GO:0005737
NYGR1_DN4144_c0_g1_i12.p1	GO:0031347, GO:0051301, GO:0045842, GO:0016567, GO:0007049, GO:0005680, GO:0031145, GO:0005515, GO:0005634, GO:0007091, GO:0005737
NYGR1_DN30611_c0_g1_i1.p1	GO:0060077, GO:0031362, GO:0005912, GO:0007157, GO:0042734, GO:0007156, GO:0005886, GO:0005515, GO:0060074, GO:0045211
NYGR1_DN5075_c0_g2_i1.p1	GO:0043171, GO:0016324, GO:0003081, GO:0016021, GO:0031526, GO:0005903, GO:0008283, GO:0005737, GO:0045177, GO:0016477, GO:0001525, GO:0009897, GO:0007165, GO:0042277, GO:0070006, GO:0008270, GO:0032835, GO:0031410, GO:0016485, GO:0005886
NYGR1_DN33971_c0_g1_i2.p1	GO:0005887, GO:0007186, GO:0005886, GO:0060756, GO:0004930
NYGR1_DN1056_c0_g1_i3.p2	GO:0019784, GO:0051091, GO:0048471, GO:0008021, GO:0008180, GO:0046872, GO:0000338, GO:0070122, GO:0005829, GO:0060118, GO:0043066, GO:0045202, GO:0140492, GO:0004222, GO:0005634, GO:0005737
NYGR1_DN19334_c0_g1_i1.p1	GO:0005515, GO:0031146, GO:0019005, GO:0030674
NYGR1_DN2374_c0_g5_i1.p1	GO:0016020, GO:0050896, GO:0006874, GO:0015293, GO:0005802, GO:0071805, GO:0016021, GO:0008273, GO:0012505, GO:0070588, GO:0098656, GO:0035725
NYGR1_DN7908_c0_g1_i1.p1	GO:0005739, GO:0031307, GO:0003885, GO:0031966, GO:0071949, GO:0070485
NYGR1_DN38816_c0_g1_i1.p1	GO:0070682, GO:0005829, GO:0005515, GO:1904855, GO:0005634, GO:0032991
NYGR1_DN12734_c0_g1_i1.p1	GO:0019058, GO:0016020, GO:0006355, GO:0005515, GO:0016021
NYGR1_DN20364_c0_g1_i1.p1	GO:0090307, GO:0007088, GO:0005654, GO:0051299, GO:0046777, GO:0005813, GO:0005829, GO:0046602, GO:0032212, GO:0005737, GO:0005856, GO:0046872, GO:0000922, GO:0051988, GO:0005874, GO:0004712, GO:0005524, GO:0106310, GO:0043392, GO:0005730, GO:0000278, GO:0000776, GO:0000070, GO:1903126, GO:0030496, GO:0019903, GO:0005634, GO:0032991, GO:0051321, GO:0000794, GO:0051301, GO:0000775, GO:0001824, GO:1904355, GO:0004674, GO:0051973
NYGR1_DN42330_c0_g1_i1.p1	GO:0042314, GO:0046872, GO:0046858, GO:0033105, GO:0015979, GO:0018298
NYGR1_DN48620_c0_g1_i1.p1	GO:0046920, GO:0016021, GO:0032580, GO:0006486, GO:0036065, GO:0005794, GO:0000139
NYGR1_DN4806_c0_g1_i1.p1	GO:0001540, GO:0042985, GO:0005524, GO:0031301, GO:0005576, GO:0005768, GO:0005886, GO:0030660, GO:0005615, GO:0010008, GO:0005794, GO:0000139
NYGR1_DN257_c0_g1_i7.p1	GO:0007623, GO:0010841, GO:0005576, GO:0032504, GO:0008289
NYGR1_DN6461_c0_g1_i2.p1	GO:0006357, GO:0003677, GO:0005634
NYGR1_DN5114_c0_g1_i1.p1	GO:1990072, GO:0006888, GO:1990070, GO:1990071, GO:0005515, GO:0005783, GO:0005794
NYGR1_DN15583_c0_g1_i1.p1	GO:0042025, GO:0016020, GO:0019031, GO:0044175, GO:0044174, GO:0007049, GO:0044201, GO:0016021, GO:0055036, GO:0017176, GO:0044178, GO:0044177
NYGR1_DN3613_c0_g1_i2.p1	GO:0071456, GO:0016020, GO:0030234, GO:0090200, GO:0016021, GO:0043065, GO:0004129
NYGR1_DN1919_c0_g1_i1.p1	GO:0106339, GO:0002130, GO:0106340, GO:0002181, GO:0005829, GO:0005634, GO:0005737
NYGR1_DN26520_c0_g1_i1.p1	GO:0048841, GO:0046777, GO:0051019, GO:0005737, GO:0043204, GO:0046872, GO:1905606, GO:0004712, GO:0005516, GO:0005524, GO:0106310, GO:0035556, GO:0035095, GO:0045202, GO:0005634, GO:1905870, GO:0050896, GO:0009931, GO:0004683, GO:0018105, GO:0048691
NYGR1_DN8190_c0_g1_i4.p1	GO:0005856, GO:0045002, GO:0000110, GO:0007131, GO:0000712, GO:1990599, GO:0003697, GO:0005737, GO:0007534, GO:0000724, GO:0005634, GO:0044732, GO:0005515, GO:0003684, GO:1901255, GO:0007533, GO:0000736, GO:0006296
NYGR1_DN19186_c0_g1_i1.p1	GO:0005654, GO:0016567, GO:0005515, GO:0080008, GO:0005737
NYGR1_DN8309_c0_g1_i1.p1	GO:0010764, GO:0015031, GO:0042025, GO:1900016, GO:0019033, GO:0030430, GO:0010760, GO:0061041, GO:0070121, GO:0005515, GO:0050728, GO:0060271, GO:0006954, GO:0044177
NYGR1_DN234_c0_g1_i2.p1	GO:0005524, GO:0008156, GO:0005654, GO:0000781, GO:0042325, GO:0007049, GO:0003682, GO:0003689, GO:0005730, GO:0005515, GO:0006281, GO:0031389, GO:0031573, GO:0033314, GO:0005634
NYGR1_DN3469_c0_g1_i1.p2	GO:0005085, GO:0035025, GO:0035556, GO:0050790, GO:0005737
NYGR1_DN1221_c0_g1_i2.p1	GO:0015031, GO:0009925, GO:0007264, GO:0005085, GO:0005829, GO:0005886, GO:0045180, GO:0006892, GO:0043547, GO:0008270, GO:0061865
NYGR1_DN831_c0_g1_i2.p1	GO:0098869, GO:0005739, GO:0004362, GO:0043295, GO:0097573, GO:0001516, GO:0016829, GO:0016021, GO:0036134, GO:0020037, GO:0050220, GO:0005794, GO:0000139
NYGR1_DN7732_c1_g1_i1.p1	GO:0051321, GO:0003723, GO:0005829, GO:0005634, GO:0005737
NYGR1_DN1095_c0_g3_i1.p1	GO:0007165, GO:0047555, GO:0046872, GO:0046069, GO:0030553, GO:0005829, GO:0005737
NYGR1_DN37652_c0_g1_i1.p1	GO:0000165, GO:0046872, GO:0006468, GO:0031901
NYGR1_DN9672_c0_g2_i1.p1	GO:0004222, GO:0005576, GO:0008270, GO:0007338
NYGR1_DN4919_c0_g3_i2.p1	GO:0000122, GO:0046872, GO:0005515, GO:0001227, GO:0000977, GO:0005634
NYGR1_DN45377_c0_g1_i1.p1	GO:0004842, GO:0002244, GO:0110165
NYGR1_DN10695_c1_g1_i1.p2	GO:0016021, GO:0016020, GO:0004579, GO:0006487
NYGR1_DN44400_c0_g1_i3.p1	GO:0005635, GO:0017056, GO:0031965, GO:0000972, GO:0006998, GO:0005643, GO:0005515, GO:0044611, GO:0006406, GO:0035196, GO:0036228, GO:0086014, GO:0006606, GO:0005634, GO:0005737
NYGR1_DN33259_c0_g1_i1.p1	GO:0005230, GO:0016020, GO:0034220, GO:0004984, GO:0007608, GO:0016021, GO:0007605, GO:0050911
NYGR1_DN5548_c0_g1_i2.p1	GO:0031666, GO:0072686, GO:0005654, GO:0002322, GO:0071222, GO:0045087, GO:0005730, GO:0005886, GO:0016021, GO:0005515, GO:0005615, GO:0031012, GO:0006954
NYGR1_DN2141_c0_g1_i4.p1	GO:0044877, GO:0005576, GO:0032589, GO:0050808, GO:0050839
NYGR1_DN6450_c0_g1_i1.p1	GO:0051287, GO:0000287, GO:0003723, GO:0005739, GO:0006099, GO:0006102, GO:0004449, GO:0005759, GO:0005737
NYGR1_DN15110_c0_g1_i1.p1	GO:0072686, GO:0005654, GO:0003677, GO:0005668, GO:0005829, GO:0006355, GO:0005730, GO:0034451, GO:0042802, GO:0005634
NYGR1_DN25768_c0_g1_i1.p1	GO:0005524, GO:0046872, GO:0071897, GO:0051301, GO:0030430, GO:0007049, GO:0003677, GO:0003910, GO:0006260, GO:0006281, GO:0006310
NYGR1_DN1661_c0_g1_i7.p1	GO:0044528, GO:0003723, GO:0005739, GO:0005759, GO:0005515, GO:0000963, GO:0035770
NYGR1_DN7442_c3_g1_i1.p1	GO:0006957, GO:0005576, GO:0005615, GO:0004866, GO:0006954, GO:0006958
NYGR1_DN21258_c0_g1_i1.p1	GO:0004857, GO:0005978, GO:0043086, GO:0045818, GO:0005737
NYGR1_DN46122_c0_g1_i3.p1	GO:0043621, GO:0033588, GO:0140018, GO:0005829, GO:0000049, GO:0002926, GO:0005737
NYGR1_DN43923_c0_g1_i1.p1	GO:0070469, GO:0032981, GO:0005739, GO:0008137, GO:0005747, GO:0016021, GO:0005515, GO:0005743
NYGR1_DN26109_c0_g1_i1.p1	GO:0090305, GO:0004519, GO:0003964, GO:0005789, GO:0006278, GO:0005783
NYGR1_DN778_c0_g2_i1.p1	GO:0003677, GO:0070212, GO:0005730, GO:0003950, GO:0030592, GO:0005634, GO:1990404, GO:0006303
NYGR1_DN250_c0_g1_i6.p1	GO:0016020, GO:0090305, GO:0004519, GO:0003964, GO:0006278, GO:0016021
NYGR1_DN31806_c0_g1_i1.p1	GO:0001657, GO:0008285, GO:0001649, GO:0071407, GO:0006351, GO:0001710, GO:0002051, GO:0007276, GO:0042592, GO:0070410, GO:0007179, GO:0005737, GO:0030901, GO:0070878, GO:0061036, GO:0071144, GO:0046872, GO:0051216, GO:0005637, GO:0017151, GO:0030509, GO:0045669, GO:0019901, GO:0009653, GO:0006954, GO:0009410, GO:1901522, GO:0042802, GO:1903672, GO:0060038, GO:1902895, GO:0060348, GO:0009880, GO:0007183, GO:0051148, GO:0000978, GO:0005634, GO:0071142, GO:0000165, GO:0001228, GO:0006468, GO:0030902, GO:0060395, GO:0010628, GO:0071773, GO:0070411
NYGR1_DN7977_c0_g1_i6.p1	GO:0031648, GO:0000578, GO:0060828, GO:0005886, GO:0009953, GO:0016021, GO:0005515, GO:2000055
NYGR1_DN42272_c0_g1_i1.p1	GO:0044877, GO:0009566, GO:0000423, GO:0005829, GO:0005515, GO:0032153, GO:0030317, GO:0005634, GO:0034613
NYGR1_DN45683_c0_g1_i2.p1	GO:0004337, GO:0006695, GO:0046872, GO:0033384, GO:0045337, GO:0004161, GO:0005737
NYGR1_DN5883_c2_g3_i2.p2	GO:0006313, GO:0090305, GO:0004519, GO:0003677, GO:0015074, GO:0005634
NYGR1_DN27591_c0_g1_i1.p1	GO:0016020, GO:0030308, GO:0048837, GO:0001646, GO:0016021, GO:0033644, GO:0030435, GO:0007189, GO:0035589
NYGR1_DN8359_c0_g1_i1.p1	GO:0033540, GO:0005777, GO:0005739, GO:0016740, GO:0006699, GO:0005829, GO:0005886, GO:0005782, GO:0005737
NYGR1_DN37875_c0_g1_i1.p1	GO:0005576, GO:0006508, GO:0007586, GO:0004252
NYGR1_DN45616_c0_g1_i1.p2	GO:0045793, GO:0005515, GO:0045727, GO:0005737
NYGR1_DN46696_c0_g1_i1.p1	GO:0051260, GO:0005262, GO:0005739, GO:0061041, GO:0015292, GO:0005743, GO:1903426, GO:0051560, GO:0036444, GO:0031305, GO:0042802, GO:1990246
NYGR1_DN1936_c0_g2_i1.p1	GO:0000028, GO:0005739, GO:0005763, GO:0000462, GO:0003735, GO:0048027, GO:0005840, GO:0070181, GO:0032543, GO:0005737
NYGR1_DN14247_c0_g1_i1.p1	GO:0005886, GO:0020037, GO:0016021, GO:0110134
NYGR1_DN1484_c0_g1_i7.p1	GO:0031410, GO:0003924, GO:0005525, GO:0071346, GO:0006955, GO:0042742
NYGR1_DN22243_c0_g1_i1.p1	GO:0031047, GO:0010267, GO:0003723, GO:0008380, GO:0006406, GO:0000445, GO:0080008, GO:0006397, GO:0005634
NYGR1_DN6656_c3_g1_i1.p1	GO:0090305, GO:0004519, GO:0003964, GO:0005739, GO:0006278
NYGR1_DN42315_c0_g1_i1.p1	GO:0039564, GO:0033650, GO:0042025, GO:0030683, GO:0039502, GO:0030430, GO:0039526, GO:0039504, GO:0003729, GO:0039557, GO:0039548, GO:0039723, GO:0039540, GO:0039722, GO:0039545
NYGR1_DN32184_c0_g1_i5.p1	GO:0016226, GO:0005739, GO:0097428, GO:0005506, GO:0051539
NYGR1_DN4017_c1_g1_i1.p1	GO:0042025, GO:0090305, GO:0004519, GO:0003964, GO:0006278, GO:0044423
NYGR1_DN44708_c0_g1_i1.p1	GO:0006886, GO:0046872, GO:0005543, GO:0070382, GO:0005886, GO:0031267, GO:0006887, GO:0042043
NYGR1_DN5468_c0_g1_i1.p1	GO:0007399, GO:0030154, GO:0045773, GO:0007411, GO:0007156, GO:0044295, GO:0005886, GO:0016021, GO:0043025, GO:0008046, GO:0030424, GO:0050808
NYGR1_DN6254_c0_g1_i2.p1	GO:0070816, GO:0006367, GO:0046872, GO:0005675, GO:0005829, GO:0006289, GO:0016251, GO:0000439, GO:0005634
NYGR1_DN20845_c0_g1_i1.p1	GO:0005856, GO:0007098, GO:0010457, GO:0000922, GO:0005813, GO:0007099, GO:0030496, GO:0008017, GO:0005814, GO:0005737
NYGR1_DN27957_c0_g1_i2.p1	GO:0016021, GO:0016020, GO:0005515, GO:0006865
NYGR1_DN30487_c0_g1_i1.p1	GO:0005654, GO:0043161, GO:0005829, GO:0005543, GO:0061753, GO:0005737, GO:0030154, GO:0061630, GO:0043025, GO:0060071, GO:0048185, GO:0030509, GO:0032801, GO:0030424, GO:0030514, GO:0061736, GO:0070412, GO:0006611, GO:1903861, GO:0070062, GO:0030512, GO:0030579, GO:0072659, GO:0005739, GO:0007398, GO:0005886, GO:2000060, GO:0000209, GO:0071211, GO:0034394, GO:0070411
NYGR1_DN3417_c0_g1_i6.p1	GO:0016020, GO:0009792, GO:0070782, GO:0016021, GO:0005515, GO:1902742, GO:0043652, GO:0097194
NYGR1_DN33981_c0_g1_i1.p1	GO:0005102, GO:0030238, GO:0005576
NYGR1_DN357_c1_g3_i1.p1	GO:0006357, GO:0046872, GO:0000981, GO:0000978, GO:0042802, GO:0070062, GO:0005634
NYGR1_DN34201_c0_g1_i2.p1	GO:0031047, GO:1903730, GO:1901703, GO:0005829, GO:0005737, GO:0009649, GO:0009734, GO:0005515, GO:0000380, GO:0009651, GO:2000012, GO:0035196, GO:0000381, GO:0005730, GO:0016604, GO:0005634, GO:0007623, GO:0030422, GO:0005886, GO:0009409
NYGR1_DN37848_c0_g1_i1.p1	GO:0042923, GO:0030273, GO:0043005, GO:0005887, GO:0005886, GO:0007218
NYGR1_DN39971_c0_g1_i1.p1	GO:0006283, GO:0031464, GO:0043161, GO:0005053, GO:0005829, GO:0005515, GO:0000209, GO:0070912, GO:0005737
NYGR1_DN5425_c0_g1_i1.p1	GO:0090305, GO:0004519, GO:0003964, GO:0005789, GO:0006278, GO:0005783
NYGR1_DN22599_c0_g1_i1.p1	GO:0002119, GO:0030728, GO:0060279, GO:0016020, GO:0044167, GO:0040026, GO:0044165, GO:0008083, GO:0016021, GO:0030431, GO:0030539, GO:0018991, GO:0055036, GO:0007173, GO:0040025, GO:0031129, GO:0042659
NYGR1_DN34333_c0_g1_i1.p1	GO:0005739, GO:0006278, GO:0015074, GO:0005515, GO:0006281, GO:0090502
NYGR1_DN30520_c0_g1_i1.p1	GO:0046872, GO:0010628, GO:0008406, GO:0005634
NYGR1_DN31940_c0_g1_i1.p1	GO:0008514, GO:0005524, GO:0016020, GO:0015562, GO:0140359, GO:0016021, GO:0015711, GO:0055085
NYGR1_DN6073_c0_g1_i2.p1	GO:0051321, GO:0005198, GO:0005737
NYGR1_DN42988_c0_g1_i1.p1	GO:0006886, GO:0005515, GO:0005768, GO:0032456
NYGR1_DN20000_c0_g1_i1.p2	GO:0002181, GO:0003735, GO:0005840, GO:0003723
NYGR1_DN7330_c1_g1_i2.p1	GO:0005525, GO:0004475, GO:0009298, GO:0005737
NYGR1_DN4001_c0_g1_i1.p1	GO:0097255, GO:0050821, GO:0005829, GO:0005515, GO:1990062
NYGR1_DN1376_c0_g1_i2.p1	GO:0007098, GO:0010457, GO:0032053, GO:0044732, GO:0005515, GO:0032153, GO:0007099, GO:0005634
NYGR1_DN31460_c0_g1_i1.p2	GO:0016020, GO:1900426, GO:1904980, GO:0050766, GO:0016021, GO:0005515, GO:0006909
NYGR1_DN25379_c0_g1_i1.p1	GO:0031092, GO:0005789, GO:0015035, GO:0003756, GO:0005886, GO:0016021, GO:0005515, GO:0018171, GO:0009986, GO:0005783
NYGR1_DN2914_c0_g1_i6.p1	GO:0051321, GO:0005096, GO:0005515, GO:0005737
