DRYU1_DN6430_c0_g1_i3.p1	GO:0006355, GO:0005634, GO:0003700
DRYU1_DN18301_c0_g1_i2.p1	GO:0030474, GO:0005856, GO:0005737, GO:0042802, GO:0010968, GO:0005634, GO:0005816, GO:0005200
DRYU1_DN2377_c0_g2_i1.p1	GO:0005829, GO:0033101, GO:0043128, GO:0005886, GO:0005515, GO:0009966, GO:0043231, GO:0005509, GO:0000139, GO:0008047
DRYU1_DN2518_c0_g1_i1.p1	GO:0046839, GO:0042392, GO:0016021, GO:0005783, GO:0030148, GO:0005789
DRYU1_DN6977_c0_g1_i1.p1	GO:0016021, GO:0022857, GO:0016020, GO:0055085, GO:0008643
DRYU1_DN11285_c0_g2_i1.p1	GO:0071294, GO:1902600, GO:0071467, GO:0005887, GO:0005886, GO:0030171, GO:0034765
DRYU1_DN18875_c0_g1_i1.p1	GO:0005737, GO:0000776, GO:0005515, GO:0007052, GO:0034599
DRYU1_DN261_c0_g1_i9.p1	GO:0030154, GO:0036002, GO:0019102, GO:0000003, GO:0042802, GO:0000381, GO:0048026, GO:0003729, GO:0007548, GO:0000245, GO:0071011, GO:0019101, GO:0000398, GO:0007283
DRYU1_DN5197_c0_g1_i1.p1	GO:0030435, GO:0005634, GO:0006310, GO:0005515, GO:0000794, GO:0051321, GO:0042138
DRYU1_DN16936_c0_g2_i1.p1	GO:0044167, GO:0044165, GO:0044177, GO:0039722, GO:0030683, GO:0016021, GO:0016020, GO:0044178, GO:0008270, GO:0004222
DRYU1_DN21967_c0_g1_i1.p1	GO:0003700, GO:0006355, GO:0000166, GO:0006275, GO:0042025, GO:0003677, GO:0006260, GO:0006351, GO:0039693
DRYU1_DN15900_c0_g1_i1.p1	GO:0060141, GO:0044174, GO:0044177, GO:0039700, GO:0016021, GO:0039660, GO:0019031, GO:0042025, GO:0044175, GO:0016020, GO:0044178, GO:0044201, GO:0055036
DRYU1_DN17027_c0_g2_i1.p1	GO:0030154, GO:0005737, GO:0000981, GO:0005634, GO:0000977, GO:0006357, GO:0030424, GO:2000748
DRYU1_DN24424_c0_g1_i1.p1	GO:0005634, GO:0008168, GO:0005730, GO:0032259
DRYU1_DN19474_c0_g1_i1.p1	GO:0015189, GO:0016021, GO:0006974, GO:0016020, GO:0000282
DRYU1_DN33967_c0_g1_i1.p1	GO:0001510, GO:0008173, GO:0005886, GO:0005783, GO:0005635, GO:0006396
DRYU1_DN3702_c1_g2_i1.p1	GO:0005930, GO:0036158, GO:0005856, GO:0060285, GO:0036126, GO:0005737, GO:0005524, GO:0005874, GO:0036157, GO:0051959, GO:0007018, GO:0045505, GO:0008569
DRYU1_DN11275_c0_g1_i1.p1	GO:0004707, GO:0005737, GO:0005524, GO:0005634, GO:0006468, GO:0000165
DRYU1_DN26109_c0_g1_i1.p1	GO:0005576, GO:0019221, GO:0030683, GO:0004908, GO:0019966
DRYU1_DN12576_c0_g1_i1.p1	GO:0006897, GO:0070647, GO:0005829, GO:0032266, GO:0061659, GO:0043130, GO:0005628, GO:0005737, GO:0043328, GO:0120113, GO:0005634, GO:0000329, GO:0031321, GO:0010008, GO:0046872, GO:0005768, GO:0033565
DRYU1_DN12594_c0_g2_i1.p1	GO:0007186, GO:0016021, GO:0007610, GO:0005886, GO:0004930
DRYU1_DN30488_c0_g1_i2.p1	GO:0042791, GO:0000127, GO:0005634, GO:0001002, GO:0008301, GO:0006384, GO:0001003
DRYU1_DN616_c0_g1_i3.p1	GO:0005856, GO:0051301, GO:0032120, GO:0005628, GO:0005737, GO:0030435, GO:0030476, GO:0005515, GO:0005816, GO:0000001, GO:0051321, GO:0070056
DRYU1_DN26710_c0_g1_i1.p1	GO:0005615, GO:0007165, GO:0005125
DRYU1_DN10051_c2_g1_i2.p1	GO:0000785, GO:0051574, GO:0005694, GO:0005634, GO:0005515, GO:0003677, GO:0046872
DRYU1_DN6251_c0_g1_i2.p1	GO:0000724, GO:0019789, GO:0005737, GO:0032204, GO:0005634, GO:0000781, GO:0005515, GO:0030915, GO:0016925
DRYU1_DN9469_c0_g1_i3.p1	GO:0016021, GO:0097502, GO:0016757, GO:0016020, GO:0051999
DRYU1_DN24575_c0_g1_i1.p1	GO:0005739, GO:0005856, GO:0051301, GO:0097431, GO:0005876, GO:0005737, GO:0008017, GO:0007052, GO:0051315, GO:0019900, GO:0007049, GO:0007059
DRYU1_DN4618_c0_g1_i5.p1	GO:0051056, GO:0043547, GO:0005737, GO:0005634, GO:0005096
DRYU1_DN21444_c0_g1_i1.p1	GO:0001708, GO:0030154, GO:0000978, GO:0000981, GO:0005634, GO:0009653, GO:0040025, GO:0006357, GO:0048664, GO:0055059
DRYU1_DN6508_c0_g1_i1.p1	GO:0005524, GO:0016021, GO:0030437, GO:0005886, GO:0051321
DRYU1_DN28967_c0_g1_i1.p1	GO:0045143, GO:0005628, GO:0005515, GO:0051455, GO:0045859, GO:0051321, GO:0010789
DRYU1_DN134_c0_g3_i2.p1	GO:0005178, GO:0030195, GO:0005887, GO:0016020, GO:0010468, GO:0007283
DRYU1_DN10222_c0_g1_i1.p1	GO:0046662, GO:0071782, GO:0016021, GO:0043025, GO:0043005, GO:0007268, GO:0050803, GO:0005783, GO:0032880, GO:0007416, GO:0046872, GO:0007626, GO:0048489, GO:0008021, GO:0005789, GO:0071786
DRYU1_DN34638_c0_g1_i1.p1	GO:0007264, GO:0032008, GO:0005525, GO:0003924, GO:0019003, GO:0005886, GO:0046872
DRYU1_DN1502_c0_g1_i3.p1	GO:0005739, GO:0005737, GO:0005634, GO:0090305, GO:0003676, GO:0008408
DRYU1_DN4023_c0_g1_i1.p1	GO:0030198, GO:0005576, GO:0008191, GO:0042060, GO:0009653, GO:0010951, GO:0005604
DRYU1_DN34174_c0_g1_i1.p1	GO:0005739, GO:0005743, GO:0006123, GO:0006119, GO:0005751, GO:0046872
DRYU1_DN6583_c0_g1_i2.p1	GO:0071507, GO:0008017, GO:0005737, GO:0071902, GO:0046872, GO:0051321
DRYU1_DN10475_c0_g1_i2.p1	GO:0035150, GO:0033563, GO:0040015, GO:0008045, GO:0070593, GO:0043025, GO:0098632, GO:0005886, GO:0009792, GO:0031225, GO:0030424, GO:1903356, GO:0043204, GO:0007156, GO:0060562, GO:0035545, GO:0005737, GO:0060467, GO:0016021, GO:0045202, GO:0007399, GO:0090327, GO:0048842, GO:2000747
DRYU1_DN5866_c0_g1_i1.p1	GO:0005856, GO:0005929, GO:0005737, GO:0061512, GO:0035721, GO:0030991, GO:0003682, GO:0030425, GO:0030030
DRYU1_DN7700_c0_g1_i2.p1	GO:0016021, GO:0006814, GO:0005886, GO:0015293, GO:0055085
DRYU1_DN18167_c0_g1_i1.p1	GO:0006284, GO:0004844, GO:0005737
DRYU1_DN9431_c0_g1_i1.p1	GO:0042147, GO:0001881, GO:0005829, GO:0007032, GO:0005802, GO:0005769, GO:0055037, GO:1901981
DRYU1_DN4131_c1_g1_i1.p1	GO:0016021, GO:0005515, GO:0016567, GO:0016020, GO:0039648
DRYU1_DN4954_c0_g1_i4.p1	GO:0019901, GO:0005634, GO:0005938, GO:0016055, GO:0090090, GO:0005886, GO:0048468, GO:0007411
DRYU1_DN879_c0_g1_i10.p1	GO:0006511, GO:0005739, GO:0004843, GO:0016579
DRYU1_DN10841_c0_g2_i1.p1	GO:0072327, GO:0009792, GO:0005886, GO:0051447, GO:0042659, GO:0051301, GO:0005737, GO:0007219, GO:0008330, GO:0017018, GO:0005829, GO:0048477, GO:0004725, GO:0040026, GO:0043407, GO:0051321, GO:0006470, GO:0046580, GO:0030154, GO:0005515, GO:0017017, GO:0048599
DRYU1_DN27441_c0_g1_i1.p1	GO:0005856, GO:0005737, GO:0030437, GO:0035974, GO:0005198
DRYU1_DN3969_c0_g1_i2.p1	GO:0010628, GO:0060070, GO:1990907, GO:0045944, GO:0019900, GO:0007507, GO:0007476, GO:0007367, GO:0001222, GO:0072091, GO:0007435, GO:0009880, GO:0035293, GO:0048546, GO:0000978, GO:0005634, GO:0045892, GO:0007500, GO:0001228, GO:0035277, GO:0090254
DRYU1_DN578_c0_g1_i2.p1	GO:0008270, GO:0004222, GO:0031012, GO:0006508
DRYU1_DN16877_c0_g1_i1.p1	GO:0016021, GO:0060828, GO:0005886, GO:0030334, GO:0001764, GO:0007399, GO:0038023, GO:0097402, GO:0035545
DRYU1_DN33999_c0_g1_i1.p1	GO:0030154, GO:0005856, GO:0007420, GO:0003779, GO:0005737, GO:0030036, GO:0007283
DRYU1_DN2323_c0_g1_i3.p1	GO:0005829, GO:0000196, GO:0005737, GO:0000935, GO:0005524, GO:0005634, GO:0060237, GO:0004674, GO:0050850, GO:1903340, GO:0005515, GO:0004708, GO:0004713, GO:0106310, GO:0018108
DRYU1_DN27490_c0_g1_i1.p1	GO:0005737, GO:0005515, GO:0005096, GO:0043087, GO:0007165
DRYU1_DN381_c0_g1_i8.p1	GO:0032092, GO:0032437, GO:0009898, GO:0005886, GO:0030424, GO:0030036, GO:0051015, GO:0005938, GO:0014731, GO:0005509, GO:0006779, GO:0030097, GO:0002260, GO:0008091, GO:0030864, GO:0007009, GO:0030054, GO:0051693, GO:0008360, GO:0042102
DRYU1_DN10976_c0_g3_i1.p1	GO:0005085, GO:0005737, GO:0051286, GO:0060090, GO:0051321, GO:0032153
DRYU1_DN23017_c0_g1_i1.p1	GO:0051321, GO:0005524, GO:0005739, GO:0046872
DRYU1_DN6846_c0_g1_i6.p1	GO:0005576, GO:0031214, GO:0005201, GO:1990430, GO:0001501, GO:0005788, GO:0031012
DRYU1_DN33939_c0_g1_i1.p1	GO:0045938, GO:0005737, GO:0042759, GO:0004467, GO:0005524, GO:0070050, GO:0005515, GO:0034976
DRYU1_DN2110_c0_g2_i2.p1	GO:0042147, GO:0034314, GO:0051220, GO:0005829, GO:0043015, GO:0003779, GO:0010468, GO:0006887, GO:0008340, GO:0043014, GO:0005769, GO:0032456, GO:0055037, GO:2000677, GO:0071203
DRYU1_DN522_c0_g2_i3.p1	GO:0006355, GO:0003676, GO:0000213, GO:0005628
DRYU1_DN1232_c0_g1_i2.p1	GO:0000785, GO:0016604, GO:0007129, GO:0005634, GO:0006397, GO:0005515, GO:0003723, GO:1902802, GO:0033620, GO:1990477
DRYU1_DN9478_c0_g1_i1.p1	GO:0007186, GO:0017147, GO:0060070, GO:0016021, GO:0097475, GO:0042813, GO:0005886, GO:1905485, GO:1904937, GO:0004930, GO:0007399, GO:0097402
DRYU1_DN5701_c1_g1_i1.p1	GO:0044877, GO:0097527, GO:0005829, GO:0019901, GO:0005737, GO:0042802, GO:0070266, GO:0005634, GO:0005524, GO:0007166, GO:0006468, GO:0004706, GO:0005886, GO:0030054, GO:0097528, GO:0070207, GO:0051607
DRYU1_DN6617_c0_g2_i1.p1	GO:0005615, GO:0007165, GO:0060326, GO:0008009
DRYU1_DN7543_c0_g1_i2.p1	GO:0016021, GO:0018991, GO:0002119, GO:0040025, GO:0040026, GO:0009792, GO:0016020, GO:0016746, GO:0000902
DRYU1_DN237_c0_g1_i1.p1	GO:0035821, GO:0034220, GO:0005576, GO:0044165, GO:0005216, GO:0016021, GO:0044169, GO:0051259, GO:0039520, GO:0044385, GO:0016020, GO:0090729, GO:0039707, GO:0044155
DRYU1_DN3124_c0_g1_i1.p1	GO:0034504, GO:0051087, GO:0005634, GO:0006457, GO:0006886
DRYU1_DN7212_c1_g1_i1.p1	GO:1903361, GO:0005524, GO:0018991, GO:0005911, GO:0009791, GO:0005159, GO:0097112, GO:0005886, GO:0005516, GO:0040026, GO:0046928, GO:0004713, GO:0018108
DRYU1_DN34085_c0_g1_i1.p1	GO:0035282, GO:0000981, GO:0005634, GO:0040034, GO:0003677, GO:0006357, GO:0046872
DRYU1_DN25787_c0_g1_i1.p1	GO:1905779, GO:0035306, GO:0010791, GO:0000737, GO:0005737, GO:0042802, GO:0005634, GO:0030870, GO:0000014, GO:0000706, GO:0006281, GO:0000723, GO:0005654, GO:0003690, GO:0031860, GO:0051321, GO:0007534, GO:0042138
DRYU1_DN28550_c0_g1_i1.p2	GO:0034235, GO:0032222, GO:1903818, GO:0045187, GO:0030431, GO:0005886, GO:0031225, GO:0048511
DRYU1_DN21297_c0_g1_i1.p1	GO:0005829, GO:0004332, GO:0003779, GO:0005737, GO:0030388, GO:0008154, GO:0016020, GO:0020002, GO:0006096, GO:0051289
DRYU1_DN10276_c1_g1_i2.p1	GO:0004712, GO:0005829, GO:0000935, GO:0005737, GO:0005524, GO:0005634, GO:0004674, GO:0006468, GO:0005515, GO:2000100, GO:0106310, GO:0032153, GO:0072741
DRYU1_DN7968_c0_g1_i3.p1	GO:0004519, GO:0005634, GO:0006313, GO:0090305, GO:0003677, GO:0015074
DRYU1_DN181_c0_g1_i3.p1	GO:0039650, GO:0010951, GO:0004867, GO:0030430, GO:0005615
DRYU1_DN2176_c0_g1_i1.p1	GO:0045335, GO:0031210, GO:0004105, GO:0006657
DRYU1_DN28456_c0_g1_i1.p1	GO:0006006, GO:0005737, GO:0033499, GO:0004034, GO:0030246
DRYU1_DN3905_c0_g1_i1.p1	GO:0016021, GO:0007165, GO:0005125, GO:0016020
DRYU1_DN9765_c1_g2_i1.p1	GO:0019076, GO:0042802, GO:0004252, GO:0042025, GO:0030430, GO:0006508
DRYU1_DN19821_c0_g1_i1.p1	GO:0004864, GO:0019902, GO:0005929, GO:0005737, GO:0060271
DRYU1_DN2626_c0_g1_i1.p1	GO:0003810, GO:0016222, GO:0018401, GO:0080058, GO:0031545, GO:0006457, GO:0005783, GO:0005788, GO:0003756, GO:0030968
DRYU1_DN7513_c0_g1_i1.p1	GO:0005737, GO:0070651, GO:0005515, GO:0003677, GO:0070966, GO:0032790
DRYU1_DN1014_c0_g1_i10.p1	GO:0005576, GO:1903078, GO:0071944, GO:0008061, GO:0030703, GO:1904778
DRYU1_DN15768_c0_g1_i1.p1	GO:0005694, GO:0005634, GO:0000781, GO:0005515, GO:0003677, GO:0008033
DRYU1_DN101_c0_g1_i1.p1	GO:0030154, GO:0036002, GO:0016607, GO:0005634, GO:2000035, GO:0005515, GO:0046660, GO:0030237, GO:0000398, GO:1990399
DRYU1_DN35143_c0_g1_i2.p1	GO:0000785, GO:0031509, GO:0005634, GO:0000781, GO:0005515, GO:0033255, GO:0016573
DRYU1_DN18395_c0_g1_i1.p1	GO:0005739, GO:0016021, GO:0005743, GO:0070131, GO:0015095
DRYU1_DN21385_c0_g1_i1.p1	GO:0042025, GO:0016020, GO:0046765, GO:0046872, GO:0044201, GO:0046802
DRYU1_DN8900_c0_g2_i2.p1	GO:0016021, GO:0022857, GO:0016020, GO:0055085
DRYU1_DN6764_c0_g1_i1.p1	GO:0018027, GO:0018026, GO:0005694, GO:0006355, GO:0005634, GO:0005515, GO:0034968, GO:0006325
DRYU1_DN18755_c0_g1_i2.p1	GO:0051087, GO:0043248, GO:0005737
DRYU1_DN35691_c0_g1_i1.p1	GO:0071657, GO:0050829, GO:0008284, GO:0005794, GO:0050832, GO:0001961, GO:0043066, GO:0005737, GO:0071654, GO:0033005, GO:0032736, GO:0050729, GO:0032754, GO:0005125, GO:0032755, GO:0042531, GO:0005783, GO:0007165, GO:0005139, GO:1904894, GO:0032733, GO:0061844
DRYU1_DN4403_c0_g1_i1.p1	GO:0055001, GO:0004712, GO:0035556, GO:0005737, GO:0051262, GO:0008340, GO:0005524, GO:0043408, GO:0004674, GO:0006468, GO:0106310
DRYU1_DN33668_c0_g1_i1.p1	GO:0005634, GO:0005686, GO:0000245, GO:0071011, GO:0000398, GO:0003723
DRYU1_DN5129_c0_g1_i1.p1	GO:0004712, GO:0003779, GO:0030683, GO:0005524, GO:0004674, GO:0042025, GO:0030430, GO:0039644, GO:0106310, GO:0039503
DRYU1_DN7609_c0_g1_i1.p1	GO:0006289, GO:0070816, GO:0005675, GO:0005634, GO:0061575, GO:0006366, GO:0046872, GO:0006367, GO:0045737, GO:0070985
DRYU1_DN2035_c0_g2_i2.p1	GO:0016571, GO:0005737, GO:1990269, GO:0005634, GO:0006368, GO:0016593, GO:0032968
DRYU1_DN22204_c0_g1_i1.p1	GO:0043001, GO:0016028, GO:0045313, GO:0030707, GO:0051601, GO:0007269, GO:0005737, GO:0072697, GO:0006887, GO:0007009, GO:0000149, GO:0016081, GO:0000145, GO:0005915, GO:0098793, GO:0032456, GO:0007298, GO:0016020, GO:0016080
DRYU1_DN2062_c1_g1_i2.p1	GO:0034504, GO:0051087, GO:0005634, GO:0006457, GO:0006886
DRYU1_DN405_c0_g1_i6.p1	GO:0042025, GO:0003677, GO:0019069, GO:0019028
DRYU1_DN1191_c0_g1_i3.p1	GO:0090630, GO:2000637, GO:0015629, GO:0005737, GO:0005634, GO:0042995, GO:0036064, GO:0005096, GO:0005886, GO:0042335
DRYU1_DN8685_c0_g1_i1.p1	GO:0000209, GO:0006378, GO:0005829, GO:0031442, GO:0000151, GO:0005634, GO:0006513, GO:0031397, GO:0051865, GO:0030332, GO:0098789, GO:0031624, GO:0043161, GO:0061630
DRYU1_DN29733_c0_g1_i1.p1	GO:0000724, GO:1990814, GO:0009378, GO:0005737, GO:0005694, GO:0005524, GO:0005634, GO:0043138, GO:0016887, GO:0006268, GO:0006260
DRYU1_DN27681_c0_g1_i1.p1	GO:0006165, GO:0006228, GO:0005524, GO:0006183, GO:0006241, GO:0005813, GO:0046872, GO:0004550
DRYU1_DN19010_c0_g1_i1.p1	GO:0006355, GO:0042025, GO:0030430, GO:0003677
DRYU1_DN6798_c1_g1_i1.p1	GO:0005576, GO:0008800, GO:0046677
